"","2017","2016","2015","2014","2013","2012","2011","2010"
"Belgique",42186,195057,207397,214883,205386,199888,198146,191068
"Bulgarie",30602,154224,162985,161205,167460,217966,162525,144819
"Suisse",128486,676867,656537,606102,598247,584300,565169,472476
"Chypre",0,108010,108630,101305,82340,82682,72791,70274
"Tchéquie",0,69860,72504,78136,79202,74220,64680,57071
"Allemagne",677363,3289507,3284099,3282131,3198666,3207957,3092226,2875302
"Danemark",46731,182607,162797,199787,218757,223402,191135,181278
"Estonie",0,0,0,0,0,0,0,0
"Grece",21822,126826,123843,92769,131527,86464,81392,144047
"Espagne",64036,654709,637450,563518,491047,529740,513080,440270
"Finlande",0,84396,74856,76835,67587,64659,100500,94224
"France",72288,503587,458033,463282,456949,495250,480046,506118
"Croatie",0,123722,84771,84559,82121,85287,88113,77260
"Hongrie",0,51753,53008,54325,52225,54785,40942,0
"Irlande",0,60732,55071,53766,57629,56818,52626,54415
"Iselande",0,0,0,0,0,0,0,0
"Italie",47646,469157,506774,522214,482624,462933,503883,443241
"Lituanie",0,0,0,0,0,0,0,0
"Luxembourg",0,50878,47256,40121,0,0,0,0
"Lettonie",0,44265,44720,41025,0,0,0,0
"Montenegro",0,39862,0,0,0,0,0,0
"Macedoine",0,50263,47559,48707,52483,50801,46566,41034
"Malte",0,51304,54165,47961,0,0,0,0
"Pays-bas",170429,522361,386131,366258,339501,300591,308567,272484
"Norvège",0,74722,63490,64936,67339,66725,70894,69513
"Pologne",21554,103119,101575,142131,147088,146351,143708,90279
"Portugal",0,83451,76843,56891,41875,0,0,0
"Roumanie",39932,200751,188036,204133,210423,248559,199478,167226
"Suède",27816,168759,164680,143791,156638,148486,188855,183049
"Slovenie",0,0,0,0,0,0,0,0
"Slovaquie",0,0,0,0,0,0,0,0
"Turquie",66373,467761,615813,624206,603560,539708,519605,432408
"Royaume-Uni",222067,878204,761240,705818,678566,738709,766700,740117
"Total",1679331,9486714,9200263,9040795,8669240,8666281,8451627,7747973
