"","2017","2016","2015","2014","2013","2012","2011","2010"
"Autriche",NA,199035,211662,217789,205930,200879,203183,193664
"Bulgarie",NA,39938,0,0,0,0,0,0
"Suisse",NA,400541,427349,428295,398377,395259,398009,349570
"Chypre",0,0,0,0,0,0,0,0
"Tchéquie",NA,209202,200880,132706,126916,113697,122808,107004
"Allemagne",NA,886923,794667,700723,685303,680726,696310,579618
"Danemark",NA,363158,242575,233117,229091,242607,220742,194293
"Estonie",0,0,0,0,0,0,0,0
"Grece",NA,285821,371828,237913,169118,173091,197063,197186
"Espagne",NA,2362218,2247402,2092700,1824832,1719610,1677580,1404940
"Finlande",NA,83750,92796,92444,91037,92500,113958,98771
"France",NA,790168,798875,764173,663932,622089,553885,496594
"Croatie",NA,49269,0,0,0,0,0,0
"Hongrie",NA,249086,249744,230600,205002,210810,149933,144273
"Irlande",NA,252748,262599,198862,199323,170634,171714,160086
"Iselande",0,0,0,0,0,0,0,0
"Italie",NA,1285476,1370145,1308621,1122954,1109784,1081680,994287
"Lituanie",0,0,0,0,0,0,0,0
"Luxembourg",NA,0,0,0,0,0,0,0
"Lettonie",NA,0,48663,0,0,0,77928,39160
"Montenegro",0,0,0,0,0,0,0,0
"Macedoine",0,0,0,0,0,0,0,0
"Malte",NA,58148,51411,43362,38516,37504,39887,0
"Pays-bas",NA,106349,117136,121476,111736,107192,115028,115464
"Norvège",NA,108727,107697,99085,87520,87687,87675,84336
"Pologne",NA,316450,326071,246094,195494,165476,143851,128936
"Portugal",NA,622319,588131,493836,320248,298814,296368,274315
"Roumanie",NA,200362,192959,134630,117825,67493,41554,43359
"Suède",NA,227074,225221,203594,192402,192943,177435,225093
"Slovenie",NA,0,0,0,0,0,0,0
"Slovaquie",0,0,0,0,0,0,0,0
"Turquie",NA,364832,656169,690161,669238,600810,574383,520598
"Royaume-Uni",NA,645995,690997,618718,562845,488202,432778,397393
