"","2017","2016","2015","2014","2013","2012","2011","2010"
"Autriche",308692,652661,668038,594144,590929,621464,568917,480453
"Belgique",249274,445301,479300,478298,451262,390494,394504,348786
"Bulgarie",0,0,0,0,0,0,37491,0
"Chypre",0,60054,43260,55110,45553,45209,44934,45187
"Tchéquie",59486,106600,106068,117748,170742,146344,118271,120683
"Allemagne",1539543,3168865,2982525,2852723,2860264,2918933,2936329,2609691
"Danemark",192688,359977,365945,386348,355449,368140,370842,326332
"Estonie",0,0,0,0,0,0,0,0
"Grece",154222,396677,379200,349592,289042,357795,369683,285800
"Espagne",1041846,2648286,2380140,2174571,2127971,2142595,2000754,1646398
"Finlande",47980,100159,159167,139125,125203,119193,136675,78896
"France",813795,1672904,1618452,1636037,1560070,1497257,1420044,1336045
"Croatie",0,56840,56847,0,0,39036,0,0
"Hongrie",75706,194293,188561,145784,191343,150415,184172,183368
"Irlande",92686,188054,168164,149080,155932,153367,139806,123218
"Iselande",0,0,0,0,0,0,0,0
"Italie",382342,973843,898691,817660,746342,731207,703638,640401
"Lituanie",0,0,0,0,0,0,0,0
"Luxembourg",0,59248,63826,66207,60588,60877,60246,53113
"Lettonie",0,0,38891,0,0,0,0,0
"Montenegro",0,0,0,0,0,0,0,0
"Macedoine",0,84636,70174,47465,44371,76719,69867,52634
"Malte",0,52311,43310,0,0,0,0,0
"Pays-bas",505704,933922,882639,825272,792087,764589,696363,622199
"Norvège",40822,82268,82177,95962,96815,97472,96953,89256
"Pologne",67268,169508,90618,109210,117524,117085,111121,105568
"Portugal",569913,1029040,896070,796304,753949,703296,654694,586831
"Roumanie",0,0,41375,43240,57202,57102,0,51335
"Suède",97769,260926,269820,273207,245747,252843,243816,207462
"Slovenie",0,48588,61427,44603,43225,37217,0,0
"Slovaquie",0,0,0,0,0,0,0,0
"Turquie",221943,708489,840114,836903,804163,750617,679374,548442
"Royaume-Uni",1557974,2986452,2899886,2728542,2697786,2711944,2689566,2425000
