"","2017","2016","2015","2014","2013","2012","2011","2010"
"Autriche",NA,73048,77626,79465,80470,75005,77477,67104
"Belgique",NA,209825,198776,148826,123252,112433,140952,139395
"Bulgarie",NA,132696,111915,107708,107877,126521,127344,117830
"Suisse",NA,140556,137755,154215,170242,149788,158599,159841
"Chypre",NA,0,0,0,0,0,63833,59627
"Allemagne",NA,577488,590998,525225,545914,520598,578840,563821
"Danemark",NA,123987,109453,99133,107885,96509,118747,119917
"Estonie",NA,0,0,0,0,0,0,0
"Grece",NA,327463,356222,335018,306281,277275,300697,331984
"Espagne",NA,424074,303694,273216,296860,306215,379146,337872
"Finlande",NA,141354,111018,106325,90553,71571,69255,68739
"France",NA,503733,439005,437732,482779,500656,506172,444027
"Croatie",NA,40742,0,0,0,0,0,0
"Hongrie",NA,38848,0,0,0,44793,81143,78809
"Irlande",NA,96874,99834,76735,53527,51075,43243,62539
"Iselande",0,0,0,0,0,0,0,0
"Italie",NA,521530,486373,450377,441594,452702,459401,417025
"Lituanie",NA,0,0,0,0,0,0,0
"Luxembourg",0,0,0,0,0,0,0,0
"Lettonie",NA,0,0,0,0,0,0,0
"Montenegro",0,0,0,0,0,0,0,0
"Macedoine",0,0,0,0,0,0,0,0
"Malte",0,0,0,0,0,0,0,0
"Pays-bas",NA,352578,284504,263371,257242,256236,268661,226629
"Norvège",NA,92657,88490,76188,69423,56947,97436,119689
"Pologne",NA,97149,91751,80707,76515,85477,112727,102388
"Portugal",NA,59502,54931,48849,46490,45644,0,0
"Roumanie",NA,41540,41577,41608,40392,53440,55467,51446
"Suède",NA,135632,117530,100410,93406,82119,90751,102614
"Slovenie",0,0,0,0,0,0,0,0
"Slovaquie",NA,43697,37573,0,0,0,59355,87268
"Turquie",NA,207729,314556,277987,255746,238270,229920,188052
"Royaume-Uni",NA,966464,887866,754489,693844,685346,649645,634718
