"","2017","2016","2015","2014","2013","2012","2011","2010"
"Autriche",34818,169379,153400,194350,210439,213276,181413,178574
"Belgique",61555,356567,271562,233702,229325,239207,216941,192721
"Bulgarie",0,0,0,0,0,0,0,0
"Suisse",86462,321490,332794,356435,316261,320760,333886,328946
"Chypre",0,0,0,0,0,0,0,0
"Tchéquie",0,121640,108975,101463,113426,96178,114987,117462
"Allemagne",250196,1489796,1412068,1362794,1230730,1157649,1074943,952975
"Estonie",0,41283,54780,59491,61239,63954,70758,75808
"Grece",0,306546,253777,228617,196382,172136,175782,167006
"Espagne",230321,1429331,1143946,1091502,1051351,984969,989032,941244
"Finlande",84399,397769,395368,396183,390685,397403,358301,296003
"France",95942,703677,667352,650078,627938,635509,613401,524538
"Croatie",0,39593,0,0,0,0,0,0
"Hongrie",0,136985,96039,71615,68447,0,87892,82410
"Irlande",30297,140558,157394,132904,124477,99020,93695,86699
"Iselande",51689,269658,218558,206456,197965,190146,188093,167557
"Italie",60857,645099,498091,495823,454065,388515,313827,306650
"Lituanie",0,121924,100618,65053,67816,62718,61970,76861
"Luxembourg",0,0,39751,40634,0,0,0,0
"Lettonie",0,77033,75524,77143,74058,75271,71420,72718
"Montenegro",0,0,0,0,0,0,0,0
"Macedoine",0,0,0,0,0,0,0,0
"Malte",0,0,0,0,0,0,0,0
"Pays-bas",175625,800398,706104,673761,614020,603858,580327,474805
"Norvège",267978,1425418,1359830,1338161,1255894,1258004,1193829,1076459
"Pologne",30324,248930,184017,183435,155862,144599,139312,128147
"Portugal",0,92495,90040,98149,100288,75279,59692,61472
"Roumanie",0,0,0,0,0,0,0,0
"Suède",218964,986665,909048,927114,819251,806870,765935,735970
"Slovenie",0,0,0,0,0,0,0,0
"Slovaquie",0,0,0,0,0,0,0,0
"Turquie",31375,415244,459467,449961,402018,362053,341976,254438
"Royaume-Uni",365946,1797439,1586034,1376993,1263948,1184078,1185413,1030575
