"","2017","2016","2015","2014","2013","2012","2011","2010"
"Autriche",NA,202221,257321,242520,250339,157857,136766,188199
"Belgique",NA,380350,414378,368548,323570,297793,316756,301600
"Bulgarie",NA,72558,46615,43151,38664,42420,45971,50114
"Suisse",NA,466303,440661,397079,301494,347551,360364,331089
"Chypre",NA,725215,648033,563090,465759,525525,499667,542509
"Tchéquie",NA,204917,218765,181527,157887,150045,197353,241305
"Allemagne",NA,2049518,1848302,1729191,1501277,1287606,1518479,1541547
"Danemark",NA,292925,276317,273925,232328,208447,207058,189708
"Estonie",0,0,0,0,0,0,0,0
"Espagne",NA,202291,182625,143811,142207,198350,284944,294259
"Finlande",NA,137260,134397,136681,132467,125155,143006,101634
"France",NA,673043,684376,589820,497359,404940,530247,574501
"Croatie",0,0,0,0,0,0,0,0
"Hongrie",NA,72341,63136,11822,0,24533,97989,76851
"Irlande",NA,0,10199,10348,0,0,0,0
"Iselande",0,0,0,0,0,0,0,0
"Italie",NA,1031439,926055,792748,736298,653624,771394,740743
"Lituanie",NA,0,10046,0,10045,0,0,0
"Luxembourg",0,0,0,0,0,0,0,0
"Lettonie",0,0,0,0,0,0,0,0
"Montenegro",0,0,0,0,0,0,0,0
"Macedoine",0,0,0,0,0,0,0,0
"Malte",0,0,0,0,0,0,0,0
"Pays-bas",NA,664877,541672,569045,510804,438940,551933,475622
"Norvège",NA,133460,110169,177421,187575,184139,151613,138901
"Pologne",NA,364494,242712,241673,98868,52032,138265,76408
"Portugal",0,0,0,0,0,0,0,0
"Roumanie",NA,123098,75151,62894,60157,64821,68726,74670
"Suède",NA,312916,297522,286706,187703,181479,199093,189038
"Slovenie",0,0,0,0,0,0,0,0
"Slovaquie",NA,0,0,0,0,0,0,0
"Turquie",NA,379931,453831,383607,280501,238053,195076,181135
"Royaume-Uni",NA,2631194,2432184,2223197,1904189,1858146,1817472,1866889
