"","2017","2016","2015","2014","2013","2012","2011","2010"
"Autriche",15800,574200,555305,501180,446267,477297,453032,387641
"Belgique",434723,2267521,2230415,2200487,1983520,1948030,1851001,1692004
"Bulgarie",0,124926,103748,125363,80759,84865,89670,98340
"Suisse",339654,2199367,2028736,1880171,2211084,2136123,2009137,1641924
"Chypre",0,0,0,0,0,0,0,0
"Tchéquie",0,268631,196771,183913,207863,225465,290458,276871
"Allemagne",1410048,12157149,10739388,10600832,9640766,9159992,9272378,8783105
"Danemark",249183,1288341,1031639,967665,940500,883777,882468,839036
"Estonie",0,12239,12450,12668,0,0,0,0
"Grece",0,217652,191729,157858,145612,203051,290596,301557
"Finlande",129096,609929,511561,552031,533006,413771,424126,353605
"France",777969,5279609,4978373,4350863,3872434,3963126,3852572,3258782
"Croatie",0,42911,0,0,0,0,0,0
"Hongrie",0,237837,209332,161407,128126,174699,127144,131477
"Irlande",246280,1679725,1436760,1251092,1220374,1167553,1135642,1108156
"Iselande",0,0,0,0,0,0,0,0
"Italie",738058,5232032,4729132,4100734,3796591,4248235,4525485,4195017
"Lituanie",0,51979,48521,41353,0,0,0,0
"Luxembourg",0,50485,47135,0,0,0,0,0
"Lettonie",0,39198,37675,42337,38508,38029,45995,41455
"Montenegro",0,0,0,0,0,0,0,0
"Macedoine",0,0,0,0,0,0,0,0
"Malte",0,58381,10646,11315,0,0,0,0
"Pays-bas",627731,3564992,2960117,2707395,2464002,2481214,2486833,2138088
"Norvège",148646,842603,751420,768292,778818,551087,545167,426741
"Pologne",0,334299,321884,197727,125956,118045,137193,78767
"Portugal",379437,1492899,1341575,1241285,1206069,1367992,1454731,1306231
"Roumanie",55112,495616,421730,344714,328643,281578,382260,367431
"Suède",229017,1237234,1096468,909546,762433,673035,749177,575577
"Slovenie",0,0,0,0,0,0,0,0
"Slovaquie",0,19573,19307,14860,0,0,0,0
"Turquie",0,606267,631145,597650,402927,315095,265842,252359
"Royaume-Uni",2723778,19213607,16341016,15395638,14509547,13705776,13968367,12723163
