"","2017","2016","2015","2014","2013","2012","2011","2010"
"Autriche",NA,87050,76405,77837,69203,66274,105118,93473
"Belgique",NA,85342,92992,92498,91952,104040,128147,99634
"Bulgarie",0,0,0,0,0,0,0,0
"Suisse",NA,102060,162702,140203,126763,119327,137772,77205
"Chypre",NA,0,0,0,0,0,0,0
"Tchéquie",NA,139946,109647,104473,91011,72848,70028,71362
"Allemagne",NA,874392,834005,848402,814697,824955,801992,711324
"Danemark",NA,393020,386608,391526,394837,446633,369333,317826
"Estonie",NA,116760,109776,111913,106864,97570,94127,74507
"Grece",NA,112839,107559,110200,104969,103367,130552,52180
"Espagne",NA,615130,539031,606896,572414,461169,451734,350335
"France",NA,259443,226651,236413,234237,220209,251295,254649
"Croatie",NA,40177,0,0,0,0,0,0
"Hongrie",NA,115812,109835,106084,102730,90614,101257,96163
"Irlande",NA,43227,0,0,0,0,0,0
"Iselande",NA,71380,53541,37617,0,0,0,0
"Italie",NA,202518,223081,234932,211922,217284,197925,178439
"Lituanie",NA,45810,40997,39232,49929,55695,54440,13623
"Luxembourg",0,0,0,0,0,0,0,0
"Lettonie",NA,142315,134132,134888,136720,153423,196811,161713
"Montenegro",0,0,0,0,0,0,0,0
"Macedoine",0,0,0,0,0,0,0,0
"Malte",0,0,0,0,0,0,0,0
"Pays-bas",NA,280596,253204,249175,238279,230362,234229,201998
"Norvège",NA,204455,194612,194798,177323,171165,161311,139668
"Pologne",NA,101032,91976,79365,101493,112900,98483,82633
"Portugal",NA,0,0,0,0,0,0,37848
"Roumanie",0,0,0,0,0,0,0,0
"Suède",NA,854461,798128,736495,693116,681171,628511,563119
"Slovenie",0,0,0,0,0,0,0,0
"Slovaquie",0,0,0,0,0,0,0,0
"Turquie",NA,118762,212008,227160,212628,168285,143322,114861
"Royaume-Uni",NA,523375,518244,509018,457164,429802,456382,452794
