"","2017","2016","2015","2014","2013","2012","2011","2010"
"Autriche",203589,503212,460387,465665,461834,498641,480103,509650
"Belgique",460499,883661,869536,880177,806984,777891,733518,646421
"Bulgarie",13049,86912,90253,87709,70065,94490,84650,75676
"Suisse",887341,1791363,1729796,1751751,1630846,1500107,1426029,1336844
"Chypre",0,0,0,0,0,0,0,42344
"Tchéquie",182855,394278,369335,339277,378520,447306,471889,377558
"Allemagne",1619466,3303405,3238193,3357265,3341336,3423382,3271539,2957494
"Danemark",256961,648916,613868,580701,556006,591479,533776,492020
"Estonie",0,0,0,0,0,0,0,0
"Grece",140312,683266,676882,555501,476626,435238,582242,513043
"Espagne",2269509,4812195,4509164,4121478,3940908,4023036,3881943,3262802
"Finlande",102479,244609,245139,210876,215783,202036,233394,235244
"Croatie",0,74025,70440,64422,64931,79100,93722,68482
"Hongrie",127719,252447,248831,216074,210879,224746,247668,227923
"Irlande",328476,814347,784252,734434,639055,624757,572095,611502
"Iselande",95474,210634,129781,109639,88771,74886,65276,48051
"Italie",2023558,4477075,4446107,4334613,4081937,4075744,3949519,3491256
"Lituanie",23881,50194,44890,45221,40657,29301,25109,0
"Luxembourg",0,45802,39147,0,0,0,0,0
"Lettonie",0,38263,56641,58867,55992,40290,48755,42209
"Montenegro",0,0,0,0,0,0,0,0
"Macedoine",31877,61450,38134,34498,23859,0,0,0
"Malte",0,63468,91934,53913,46838,39909,37630,0
"Pays-bas",847563,1676936,1423468,1312140,1220403,1173356,1094113,1019201
"Norvège",125465,330802,312704,331585,312831,321316,309873,275788
"Pologne",228197,434097,459613,388817,404486,351511,350936,305725
"Portugal",1324533,2631484,2247861,2074755,1687384,1511177,1275726,1083576
"Roumanie",142740,289299,302524,290207,287236,266878,274353,257749
"Suède",183656,490152,485296,485473,439964,441076,446784,376919
"Slovenie",0,0,0,0,36474,0,63293,50236
"Slovaquie",0,0,0,0,0,23680,27435,28482
"Turquie",359973,844876,911941,849787,801019,732042,720605,588909
"Royaume-Uni",2162633,4873636,4677283,4539874,4336090,4299568,4233731,3887841
