"","2017","2016","2015","2014","2013","2012","2011","2010"
"Autriche",66377,148653,134841,130031,128122,132296,131452,110792
"Belgique",43124,99860,87298,73962,65585,44442,39371,37412
"Bulgarie",0,0,0,0,0,0,0,0
"Suisse",26702,97984,86826,63113,45874,47593,46216,42177
"Chypre",0,0,0,0,0,0,0,0
"Tchéquie",0,31484,19584,18602,16781,11317,10644,13403
"Allemagne",312217,659187,642077,630912,613829,565371,538952,463126
"Danemark",19968,71873,58211,63463,56082,48226,39141,30461
"Estonie",0,0,0,0,0,0,0,0
"Grece",6365,14043,9366,0,0,0,0,0
"Espagne",28116,84959,72531,64781,41113,54816,60808,52651
"Finlande",22468,71451,58179,46682,48495,32615,10203,10803
"France",65148,215542,186201,167665,172765,147255,146213,114744
"Hongrie",0,0,0,23935,25574,12215,23398,11264
"Irlande",19589,51327,40411,33132,35873,25635,23213,29964
"Iselande",0,0,0,0,0,0,0,0
"Italie",31410,75154,93452,79836,40264,40395,38633,35023
"Lituanie",0,0,0,0,0,0,0,0
"Luxembourg",0,0,0,0,0,0,0,0
"Lettonie",0,0,0,0,0,0,0,0
"Montenegro",0,0,0,0,0,0,0,0
"Macedoine",11004,24775,22852,22846,23309,29227,28703,27466
"Malte",0,0,0,0,0,0,0,0
"Pays-bas",58408,135922,103177,67628,33579,38188,35034,32717
"Norvège",9163,69377,78844,74281,58920,54912,51979,41350
"Pologne",9663,0,0,0,0,0,0,0
"Portugal",0,0,0,0,0,0,0,0
"Roumanie",0,0,0,0,0,0,0,0
"Suède",32634,120017,74668,81085,66486,51030,32423,40030
"Slovenie",0,0,0,0,0,0,0,0
"Slovaquie",0,0,0,0,0,0,0,0
"Turquie",43743,76637,74624,74683,55009,52824,49483,30413
"Royaume-Uni",165273,519054,413249,376347,350315,302686,222772,216550
"Total",971372,2567299,2256391,2092984,1877975,1691043,1528638,1340346
