"","2017","2016","2015","2014","2013","2012","2011","2010"
"Autriche",NA,48395,51827,52868,51823,51110,36828,0
"Belgique",NA,245312,242318,224804,210586,208733,148438,144820
"Bulgarie",NA,0,0,0,0,0,0,0
"Suisse",NA,192387,185669,144174,187972,147635,181792,181619
"Chypre",NA,0,0,0,0,0,40271,0
"Tchéquie",NA,39627,0,0,0,36450,71860,72752
"Allemagne",NA,708154,650391,616544,645316,646547,682037,604244
"Danemark",NA,109043,73551,48094,45449,0,87435,82316
"Estonie",0,0,0,0,0,0,0,0
"Grece",NA,61382,51756,0,0,0,55701,48728
"Espagne",NA,232809,202678,156843,125370,169200,123940,123912
"Finlande",NA,106163,100088,94991,88289,62621,91230,83677
"France",NA,223184,208422,180395,179134,222437,250026,228554
"Croatie",NA,0,0,0,0,0,0,0
"Irlande",NA,114165,96453,88007,79886,94205,85895,95874
"Iselande",0,0,0,0,0,0,0,0
"Italie",NA,371177,341715,289354,274006,283008,186082,189885
"Lituanie",0,0,0,0,0,0,0,0
"Luxembourg",0,0,0,0,0,0,0,0
"Lettonie",0,0,0,0,0,0,0,0
"Montenegro",0,0,0,0,0,0,0,0
"Macedoine",0,0,0,0,0,0,0,0
"Malte",NA,39010,0,0,0,0,0,0
"Pays-bas",NA,388255,261270,273792,277950,290652,271987,202267
"Norvège",NA,93095,72358,57089,64055,44027,41920,38478
"Pologne",NA,104852,96010,85122,88922,57014,65616,56686
"Portugal",NA,0,49406,41124,39917,38783,0,0
"Roumanie",NA,0,0,0,0,38987,61405,61082
"Suède",NA,151683,143177,83013,129476,92614,75824,66443
"Slovenie",0,0,0,0,0,0,0,0
"Slovaquie",0,0,0,0,0,0,0,0
"Turquie",NA,165635,239217,201742,87046,86845,125652,113348
"Royaume-Uni",NA,878550,718878,640788,584531,548630,500235,401411
