"","2017","2016","2015","2014","2013","2012","2011","2010"
"Autriche",NA,46467,43729,43041,47069,45333,40242,41172
"Belgique",NA,252175,262901,200954,210841,183096,170371,156937
"Bulgarie",0,0,0,0,0,0,0,0
"Suisse",NA,183132,166467,149923,156439,154579,142238,123952
"Chypre",0,0,0,0,0,0,0,0
"Tchéquie",NA,96039,98830,75270,52470,51026,43275,61577
"Allemagne",NA,865324,801698,686606,652002,618297,596145,577041
"Danemark",NA,141199,157637,137256,127276,99877,94572,87913
"Estonie",0,0,0,0,0,0,0,0
"Grece",NA,0,0,0,0,0,0,0
"Espagne",NA,1765959,1512580,1323095,1305462,1266427,1283616,1211825
"Finlande",NA,41775,0,0,0,0,0,0
"France",NA,712207,668588,617726,525138,514456,526151,534654
"Croatie",0,0,0,0,0,0,0,0
"Hongrie",NA,116432,98451,91198,83131,97323,86973,97608
"Iselande",NA,39059,0,0,0,0,0,0
"Italie",NA,390583,377169,285484,264659,302778,261399,263671
"Lituanie",NA,57111,60333,54893,56357,61620,92963,88717
"Luxembourg",0,0,0,0,0,0,0,0
"Lettonie",NA,58387,62938,57075,53467,57486,60828,74736
"Montenegro",0,0,0,0,0,0,0,0
"Macedoine",0,0,0,0,0,0,0,0
"Malte",NA,38860,38615,0,0,0,0,0
"Pays-bas",NA,614838,450705,403224,386135,375312,371161,332759
"Norvège",NA,49297,45761,41089,36630,40880,45433,0
"Pologne",NA,334528,316961,234633,256620,252019,300140,298259
"Portugal",NA,459480,401000,363069,320755,283704,266467,265011
"Roumanie",NA,63176,55680,55490,0,0,0,0
"Suède",NA,54021,38682,52319,55850,45964,0,0
"Slovenie",0,0,0,0,0,0,0,0
"Slovaquie",NA,66981,64342,50955,49817,47684,44711,44408
"Turquie",NA,87365,83918,74225,61649,44501,41383,38708
"Royaume-Uni",NA,6231351,5648749,5010515,4659642,4559438,4602248,4489408
