"","2017","2016","2015","2014","2013","2012","2011","2010"
"Autriche",10605,50618,47211,39616,33639,29365,28476,27286
"Belgique",0,0,0,0,0,0,0,0
"Bulgarie",0,0,0,0,0,0,0,0
"Suisse",14481,84602,85929,88358,83709,87368,78541,67408
"Chypre",0,0,0,0,0,0,0,0
"Tchéquie",0,0,0,0,0,0,0,0
"Allemagne",46729,217654,169010,169845,157615,148059,135083,107303
"Danemark",0,24487,39219,42131,31499,27056,29004,28307
"Estonie",0,0,0,0,0,0,0,0
"Grece",0,0,0,10385,0,0,10331,0
"Espagne",7738,134485,98241,126685,132725,111512,103744,76807
"Finlande",0,0,0,0,0,0,0,0
"France",11494,71112,61967,52020,50195,44467,46504,42561
"Croatie",0,0,0,0,0,0,0,0
"Hongrie",0,0,0,0,0,0,0,0
"Irlande",0,0,0,0,0,0,0,0
"Iselande",0,0,0,0,0,0,0,0
"Italie",17480,94264,87045,75989,63297,38525,35514,30852
"Lituanie",0,0,0,0,0,0,0,0
"Lettonie",0,0,0,0,0,0,0,0
"Montenegro",0,0,0,0,0,0,0,0
"Macedoine",0,0,0,0,0,0,0,0
"Malte",0,0,0,0,0,0,0,0
"Pays-bas",17924,80770,73981,66667,61805,58350,54655,46362
"Norvège",0,0,0,0,0,0,0,0
"Pologne",0,0,0,0,0,0,0,0
"Portugal",58265,198148,156264,127543,82660,75594,73300,63051
"Roumanie",0,0,0,0,0,0,0,0
"Suède",0,0,0,0,0,0,0,0
"Slovenie",0,0,0,0,0,0,0,0
"Slovaquie",0,0,0,0,0,0,0,0
"Turquie",0,30167,58135,49715,28668,15668,18999,12823
"Royaume-Uni",56745,195443,193483,187527,181365,131306,117616,103216
"Total",241461,1181750,1070485,1036481,907177,767270,731767,605976
