"","2017","2016","2015","2014","2013","2012","2011","2010"
"Autriche",16621,39631,NA,NA,NA,NA,NA,NA
"Belgique",8961,17435,NA,NA,NA,NA,NA,NA
"Bulgarie",0,0,0,0,0,0,0,0
"Suisse",0,12700,NA,NA,NA,NA,NA,NA
"Chypre",0,0,0,0,0,0,0,0
"Tchéquie",0,0,0,0,0,0,0,0
"Allemagne",8371,12469,NA,NA,NA,NA,NA,NA
"Danemark",0,0,0,0,0,0,0,0
"Estonie",0,0,0,0,0,0,0,0
"Grece",0,0,0,0,0,0,0,0
"Espagne",0,0,0,0,0,0,0,0
"Finlande",0,0,0,0,0,0,0,0
"France",0,17728,NA,NA,NA,NA,NA,NA
"Croatie",0,0,0,0,0,0,0,0
"Hongrie",0,0,0,0,0,0,0,0
"Irlande",0,0,0,0,0,0,0,0
"Iselande",0,0,0,0,0,0,0,0
"Italie",9401,19748,NA,NA,NA,NA,NA,NA
"Lituanie",0,0,0,0,0,0,0,0
"Luxembourg",0,0,0,0,0,0,0,0
"Lettonie",0,0,0,0,0,0,0,0
"Macedoine",0,0,0,0,0,0,0,0
"Malte",0,0,0,0,0,0,0,0
"Pays-bas",0,0,0,0,0,0,0,0
"Norvège",0,0,0,0,0,0,0,0
"Pologne",0,0,0,0,0,0,0,0
"Portugal",0,0,0,0,0,0,0,0
"Roumanie",0,0,0,0,0,0,0,0
"Suède",0,0,0,0,0,0,0,0
"Slovenie",9045,17909,NA,NA,NA,NA,NA,NA
"Slovaquie",0,0,0,0,0,0,0,0
"Turquie",20478,40382,NA,NA,NA,NA,NA,NA
"Royaume-Uni",9014,31061,NA,NA,NA,NA,NA,NA
