"","2017","2016","2015","2014","2013","2012","2011","2010"
"Autriche",26485,52516,49854,NA,NA,NA,NA,NA
"Belgique",8705,16841,15728,NA,NA,NA,NA,NA
"Bulgarie",0,0,0,0,0,0,0,0
"Suisse",36372,79903,67837,NA,NA,NA,NA,NA
"Chypre",0,0,0,0,0,0,0,0
"Tchéquie",0,0,0,0,0,0,0,0
"Allemagne",71431,150251,85148,NA,NA,NA,NA,NA
"Danemark",8183,11977,0,NA,NA,NA,NA,NA
"Estonie",0,0,0,0,0,0,0,0
"Grece",0,0,0,0,0,0,0,0
"Espagne",0,15297,0,NA,NA,NA,NA,NA
"Finlande",0,0,0,0,0,0,0,0
"France",21120,56251,54313,NA,NA,NA,NA,NA
"Croatie",11505,24900,23348,NA,NA,NA,NA,NA
"Hongrie",0,0,0,0,0,0,0,0
"Irlande",0,0,0,0,0,0,0,0
"Iselande",0,0,0,0,0,0,0,0
"Italie",0,52560,54549,NA,NA,NA,NA,NA
"Lituanie",0,0,0,0,0,0,0,0
"Luxembourg",0,0,0,0,0,0,0,0
"Lettonie",0,0,0,0,0,0,0,0
"Montenegro",0,0,0,0,0,0,0,0
"Malte",0,0,0,0,0,0,0,0
"Pays-bas",0,15449,15950,NA,NA,NA,NA,NA
"Norvège",0,14930,0,NA,NA,NA,NA,NA
"Pologne",0,0,0,0,0,0,0,0
"Portugal",0,0,0,0,0,0,0,0
"Roumanie",0,0,0,0,0,0,0,0
"Suède",31302,76997,82028,NA,NA,NA,NA,NA
"Slovenie",12807,20879,22139,NA,NA,NA,NA,NA
"Slovaquie",8213,12450,0,NA,NA,NA,NA,NA
"Turquie",52629,113963,113454,NA,NA,NA,NA,NA
"Royaume-Uni",16955,35033,35797,NA,NA,NA,NA,NA
