"","2017","2016","2015","2014","2013","2012","2011","2010"
"Autriche",0,77941,65043,67433,67525,67298,71978,71708
"Belgique",67410,121967,127034,121755,115158,119490,124253,116585
"Bulgarie",0,0,0,0,0,0,0,0
"Suisse",39428,79819,78127,87696,87533,91368,91034,84168
"Chypre",0,0,0,0,0,41343,40179,0
"Tchéquie",0,69030,65560,59772,63719,54044,69092,79807
"Allemagne",336119,673511,716506,757224,779960,787934,835981,781115
"Danemark",658434,1416821,1362350,1361088,1286006,1277215,1179062,1058716
"Estonie",0,74961,72848,65875,64658,70655,60769,41949
"Grece",0,73410,105778,75708,111569,68870,52845,51880
"Espagne",458877,1099851,971008,1082864,1068180,786652,699300,616092
"Finlande",116543,203082,193706,195771,184586,170276,162089,142349
"France",119185,329591,352180,352292,312772,313194,304139,280674
"Croatie",0,47707,10833,39086,0,10440,0,0
"Hongrie",38855,89562,73037,57977,63225,61825,42131,38523
"Irlande",0,71474,76369,70946,65786,41009,45095,27758
"Iselande",73436,154356,151731,134867,127274,114980,96828,84651
"Italie",40483,148505,136838,157501,158566,117332,143156,129661
"Lituanie",57841,115082,108840,87315,60604,28244,23617,10842
"Luxembourg",0,0,0,0,0,0,0,0
"Lettonie",72637,163537,141214,123986,120981,124757,132463,137133
"Montenegro",0,0,0,0,0,0,0,0
"Macedoine",0,14911,0,0,0,0,0,0
"Malte",0,0,0,0,0,0,0,0
"Pays-bas",435555,884993,866498,841498,811854,802673,736166,660656
"Pologne",229402,701109,706029,543516,440582,341335,227603,186976
"Portugal",0,101806,122723,102527,59047,63580,38921,38592
"Roumanie",10127,19069,16334,15937,0,0,0,0
"Suède",396269,844677,764245,764313,666184,642099,625000,534544
"Slovenie",0,0,0,0,0,0,0,0
"Slovaquie",0,0,0,0,0,0,0,0
"Turquie",44330,153330,215227,222448,295642,281601,192921,165790
"Royaume-Uni",521620,1168749,1276859,1249576,1262875,1081628,951560,918659
