"","2017","2016","2015","2014","2013","2012","2011","2010"
"Autriche",NA,137682,139109,143029,146560,146642,143328,123744
"Belgique",NA,310891,324509,243897,210929,142669,192825,187350
"Bulgarie",NA,153892,52141,31475,39053,37442,24710,27965
"Suisse",NA,192457,88269,107387,113187,113716,109975,103828
"Chypre",0,0,0,0,0,0,0,0
"Tchéquie",NA,99576,91335,82758,78384,79599,105005,98985
"Allemagne",NA,1768858,1651744,1500418,1431192,1380684,1282547,1248871
"Danemark",NA,274804,254217,227669,190403,164316,151946,126774
"Estonie",0,0,0,0,0,0,0,0
"Grece",NA,378928,162682,109493,12252,11460,116863,45045
"Espagne",NA,567898,389856,316370,271936,221264,226674,152104
"Finlande",NA,122296,90756,84199,97921,111774,96633,79520
"France",NA,503250,481495,412663,425125,372867,377003,321575
"Croatie",0,0,0,0,0,0,0,0
"Hongrie",NA,107477,100886,87588,92784,58651,67740,57492
"Irlande",NA,450522,402404,369459,378333,405608,455716,377028
"Iselande",0,0,0,0,0,0,0,0
"Italie",NA,619931,600678,506646,409890,389803,417204,407476
"Lituanie",NA,59804,51117,51479,48755,0,0,0
"Luxembourg",0,0,0,0,0,0,0,0
"Lettonie",NA,47959,43069,41013,0,0,0,0
"Montenegro",0,0,0,0,0,0,0,0
"Macedoine",0,0,0,0,0,0,0,0
"Malte",NA,46935,10727,10741,0,0,0,0
"Pays-bas",NA,470987,386110,324628,248340,252201,231695,192930
"Norvège",NA,814485,776359,552358,410669,344640,322931,202748
"Portugal",NA,51739,47632,0,0,0,0,0
"Roumanie",NA,57931,55508,51777,38615,39751,0,0
"Suède",NA,437415,343203,300236,180808,156087,175886,133185
"Slovenie",0,0,0,0,0,0,0,0
"Slovaquie",0,0,0,0,0,0,0,0
"Turquie",NA,103568,258180,255845,203041,207956,244423,201392
"Royaume-Uni",NA,3199134,2837423,2334394,2145374,1933152,2002631,1632029
