"","2017","2016","2015","2014","2013","2012","2011","2010"
"Autriche",NA,232998,221571,234232,245494,287905,243993,208039
"Belgique",NA,253835,239007,129057,138376,83977,108384,104038
"Bulgarie",0,0,0,0,0,0,0,0
"Suisse",NA,0,58035,48548,64139,62089,37393,48672
"Chypre",NA,69173,64490,57729,57538,55542,49496,57695
"Tchéquie",NA,38216,37839,0,0,53208,56474,50140
"Allemagne",NA,914742,833836,744859,650750,545287,598786,491869
"Danemark",0,0,0,0,0,0,0,0
"Estonie",0,0,0,0,0,0,0,0
"Grece",NA,127925,76639,0,59856,65643,69135,75729
"Espagne",NA,607223,518781,396114,440493,408832,528412,475451
"Finlande",0,0,0,0,0,0,0,0
"France",NA,349246,344820,327084,323894,293869,295032,270246
"Croatie",0,0,0,0,0,0,0,0
"Hongrie",NA,13433,17373,15820,16999,42395,93309,76616
"Irlande",NA,87858,64113,0,0,7611,12701,19844
"Iselande",0,0,0,0,0,0,0,0
"Italie",NA,1284140,1018753,783179,804341,792176,921608,828398
"Lituanie",0,0,0,0,0,0,0,0
"Luxembourg",0,0,0,0,0,0,0,0
"Lettonie",0,0,0,0,0,0,0,0
"Montenegro",0,0,0,0,0,0,0,0
"Macedoine",0,0,0,0,0,0,0,0
"Malte",0,0,0,0,0,0,0,0
"Pays-bas",NA,244313,220386,212202,174878,162798,162563,139885
"Norvège",0,0,0,0,0,0,0,0
"Pologne",NA,56884,52267,0,42129,40480,0,28754
"Portugal",NA,0,0,0,0,0,0,11510
"Suède",NA,18767,15068,0,0,0,0,0
"Slovenie",0,0,0,0,0,0,0,0
"Slovaquie",NA,0,0,0,0,0,0,0
"Turquie",NA,220904,251032,224901,175310,200166,179577,171005
"Royaume-Uni",NA,875894,686669,488848,389482,349402,313448,267599
