"","2017","2016","2015","2014","2013","2012","2011","2010"
"Autriche",0,152016,151938,128457,138542,134808,182959,176191
"Belgique",39814,252815,243755,227181,211287,235101,227315,227302
"Bulgarie",0,16646,16831,0,0,0,0,0
"Suisse",46504,268422,278800,281305,250694,254575,241247,198769
"Chypre",0,56005,54164,52767,65884,96743,93534,95283
"Tchéquie",0,104179,99029,89580,90241,79133,77198,65847
"Allemagne",326763,1593842,1448287,1273867,1368596,1343225,1271983,1138951
"Danemark",218654,973580,881327,887498,819898,814426,766698,732485
"Estonie",0,74690,49350,47641,70658,90856,56035,58824
"Grece",0,312090,269548,233757,133037,187504,203273,185175
"Espagne",198245,1452040,1301741,1169348,1057067,1064199,955774,754095
"Finlande",184778,831088,736745,705978,665824,612503,582739,494005
"France",70392,499206,488852,509619,462584,436197,470552,387241
"Croatie",0,71373,0,0,0,0,0,0
"Hongrie",18837,147896,147483,144263,170497,131513,179244,163807
"Irlande",0,54956,40947,53677,74617,71713,34721,26797
"Iselande",0,104295,84579,73517,69462,68741,56134,50770
"Italie",12215,267060,195402,241773,231603,228630,231403,285843
"Lituanie",0,85649,0,0,11451,14394,12437,0
"Luxembourg",0,0,0,0,0,0,0,0
"Lettonie",0,116038,104137,83904,103169,97832,109845,112789
"Montenegro",0,0,0,0,0,0,0,0
"Macedoine",8495,55886,60037,68423,26659,0,0,0
"Malte",0,20167,18890,16291,18050,20230,20649,19960
"Pays-bas",135824,549492,513474,475233,487047,483389,451659,420899
"Norvège",173029,801669,734477,738058,659685,684321,668898,580328
"Pologne",65329,478600,387167,369548,283376,271874,230340,197598
"Portugal",0,45201,46239,44389,51565,37031,0,0
"Roumanie",0,52606,32247,11074,0,0,0,0
"Slovenie",0,0,0,0,0,0,0,0
"Slovaquie",0,0,0,0,0,0,0,0
"Turquie",19649,387210,542417,577340,557318,484841,434784,312649
"Royaume-Uni",271006,1367102,1313936,1169943,1173112,1173975,1178472,973700
