"","2017","2016","2015","2014","2013","2012","2011","2010"
"Autriche",12526,27044,29335,26682,27335,27863,21206,14329
"Belgique",15623,43839,28510,27132,31359,30266,32822,30019
"Bulgarie",0,37341,33545,33243,35103,35823,32781,17441
"Suisse",0,0,0,0,0,0,0,0
"Chypre",0,0,0,0,0,0,0,0
"Tchéquie",12281,39268,27386,22554,26741,29724,51552,77859
"Allemagne",15375,50785,0,0,0,0,0,0
"Danemark",0,0,0,0,0,0,0,0
"Estonie",0,0,0,0,0,0,0,0
"Grece",8746,74363,54243,28905,22769,11239,25000,23358
"Espagne",18790,75519,66875,40705,42842,47009,88631,55343
"Finlande",0,0,0,0,0,0,0,0
"France",0,12977,15594,13477,14666,22808,27851,28098
"Croatie",0,0,0,0,0,0,0,0
"Hongrie",0,0,0,0,0,0,0,0
"Irlande",31790,65752,61460,47935,47064,41547,43229,43691
"Iselande",0,0,0,0,0,0,0,0
"Italie",31429,86183,91128,86271,73005,60848,67420,92500
"Lituanie",0,0,0,0,0,0,0,0
"Luxembourg",0,0,0,0,0,0,0,0
"Lettonie",0,0,0,0,0,0,0,0
"Montenegro",0,0,0,0,0,0,0,0
"Macedoine",8141,12216,0,0,0,0,0,0
"Malte",0,0,0,0,0,0,0,0
"Pays-bas",0,0,0,0,0,0,0,0
"Norvège",0,0,0,0,0,0,0,0
"Pologne",0,7586,0,0,0,0,0,0
"Portugal",0,0,0,0,0,0,0,0
"Roumanie",0,0,0,0,0,0,0,0
"Suède",0,0,0,0,0,0,0,18468
"Slovenie",0,0,0,0,0,0,0,0
"Turquie",3915,31956,92549,79226,81950,70861,80231,56250
"Royaume-Uni",131538,310036,289323,247050,204417,217117,221578,241575
