"","2017","2016","2015","2014","2013","2012","2011","2010"
"Autriche",NA,398981,524875,484757,484508,488858,NA,NA
"Belgique",NA,362905,665688,694550,661655,611057,NA,NA
"Bulgarie",NA,89603,88627,80061,74181,59147,NA,NA
"Suisse",NA,511619,590180,600074,588098,612552,NA,NA
"Chypre",0,0,0,0,0,0,0,0
"Tchéquie",NA,128871,204618,208236,197477,179172,NA,NA
"Allemagne",NA,5755501,7039891,6476339,6126244,6203876,NA,NA
"Danemark",NA,416350,480560,480859,451520,412312,NA,NA
"Estonie",NA,0,44878,42015,0,0,NA,NA
"Grece",NA,387809,449822,390228,284942,222386,NA,NA
"Espagne",NA,586979,593005,540395,351934,289275,NA,NA
"Finlande",NA,134475,209347,206009,176484,153863,NA,NA
"France",NA,1010851,1156682,1133024,1040173,855686,NA,NA
"Croatie",NA,64858,72207,71856,53924,52118,NA,NA
"Hongrie",NA,158895,230746,195605,82133,80438,NA,NA
"Irlande",NA,86732,81683,73477,60452,68950,NA,NA
"Iselande",0,0,0,0,0,0,0,0
"Italie",NA,874652,960543,893635,747342,636022,NA,NA
"Lituanie",NA,60833,103318,57037,49247,0,NA,NA
"Luxembourg",0,0,0,0,0,0,0,0
"Lettonie",NA,0,41024,42857,45113,60425,NA,NA
"Montenegro",NA,40808,0,0,0,0,NA,NA
"Macedoine",NA,72293,69142,66143,62937,51742,NA,NA
"Malte",NA,67602,61196,0,0,0,NA,NA
"Pays-bas",NA,1003091,1260054,1267043,1248661,1146606,NA,NA
"Norvège",NA,163767,212738,202892,246404,217523,NA,NA
"Pologne",NA,65224,258965,237256,195283,186648,NA,NA
"Portugal",NA,87134,85965,66723,48255,40439,NA,NA
"Roumanie",NA,218273,243257,220532,206611,201013,NA,NA
"Suède",NA,363509,519970,531803,556783,484539,NA,NA
"Slovenie",NA,51908,59782,54687,55402,47628,NA,NA
"Slovaquie",NA,0,57505,60004,63141,52151,NA,NA
"Royaume-Uni",NA,1921130,2463249,2488282,2306404,2229897,NA,NA
