"","2017","2016","2015","2014","2013","2012","2011","2010"
"Belgique",44208,199316,211095,217044,205833,200723,203206,192736
"Bulgarie",29271,158658,164341,163326,172414,226300,166071,144145
"Suisse",138167,689778,679192,629274,628950,612907,591345,498086
"Chypre",0,108378,105558,101327,86244,84189,71063,67888
"Tchéquie",0,72216,76713,78791,79652,74145,66091,57704
"Allemagne",699686,3353330,3340230,3315667,3237619,3227390,3119860,2886778
"Danemark",50430,185007,167845,207700,222767,226416,193359,187268
"Estonie",0,0,0,0,0,0,0,0
"Grece",20708,123058,118109,89204,127603,83179,78527,142362
"Espagne",64807,661490,646911,580965,502786,538962,524480,443979
"Finlande",0,87361,76758,78425,69605,66846,105504,94818
"France",75638,505703,462957,467356,465225,500050,480472,507344
"Croatie",0,118050,78110,78964,75884,78568,81458,72525
"Hongrie",0,48320,51824,53289,51868,51474,37138,0
"Irlande",0,59693,56148,53817,58487,56044,53012,55319
"Iselande",0,0,0,0,0,0,0,0
"Italie",51624,480796,515532,527548,493190,468989,511763,450080
"Lituanie",0,0,0,0,0,0,0,0
"Luxembourg",0,50978,47645,39915,0,0,0,0
"Lettonie",0,43600,42039,40522,0,0,0,0
"Montenegro",0,38996,0,0,0,0,0,0
"Macedoine",0,52727,49824,49895,52636,51749,49096,40720
"Malte",0,51655,54383,47653,0,0,0,0
"Pays-bas",175009,524920,391277,370701,343467,309654,314457,277710
"Norvège",0,78459,65294,67548,67455,67606,72524,71340
"Pologne",21159,102510,103240,142911,147092,146661,143337,89754
"Portugal",0,83278,79314,57567,41880,0,0,0
"Roumanie",38627,200276,188568,202805,211253,246774,199236,165453
"Suède",30108,164907,163921,139911,150835,147044,193446,186024
"Slovenie",0,0,0,0,0,0,0,0
"Slovaquie",0,0,0,0,0,0,0,0
"Turquie",62444,465925,617947,631139,613052,540357,522695,428579
"Royaume-Uni",230260,902575,790240,731656,689120,752217,780667,749052
