"","2017","2016","2015","2014","2013","2012","2011","2010"
"Autriche",108246,196325,208745,215981,206501,200731,199835,192911
"Bulgarie",36775,40081,0,0,0,0,0,0
"Suisse",223011,396635,421777,418997,393539,393241,397957,351417
"Chypre",0,0,0,0,0,0,0,0
"Tchéquie",119682,208768,198671,127903,123172,112193,122178,107844
"Allemagne",466536,889275,813421,715790,700914,692247,709524,591802
"Danemark",161360,356954,241084,233492,229413,238984,216683,192144
"Estonie",0,0,0,0,0,0,0,0
"Grece",110383,278428,362762,229403,163092,164306,186049,188559
"Espagne",1067814,2342244,2245494,2092182,1830306,1730977,1683600,1428685
"Finlande",46735,85562,93733,93250,92590,92766,114354,100050
"France",345422,773209,788572,756969,655452,623379,557499,504550
"Croatie",0,48151,0,0,0,0,0,0
"Hongrie",134579,245755,243644,225826,205556,210254,148691,145042
"Irlande",109331,252455,263399,200954,199117,170349,170512,157375
"Iselande",0,0,0,0,0,0,0,0
"Italie",634026,1286052,1373647,1312389,1125911,1108220,1074449,1000167
"Lituanie",0,0,0,0,0,0,0,0
"Luxembourg",0,0,0,0,0,0,0,0
"Lettonie",0,0,49557,0,0,0,74554,37857
"Montenegro",0,0,0,0,0,0,0,0
"Macedoine",0,0,0,0,0,0,0,0
"Malte",60500,57300,53280,48065,43890,42148,43909,0
"Pays-bas",68844,113131,127235,120317,111130,107057,105128,106806
"Norvège",67671,105624,105741,95912,86308,86872,88422,84608
"Pologne",170638,313432,326111,246937,193184,168293,142585,131030
"Portugal",290319,614144,588651,493003,314435,294203,291482,273227
"Roumanie",109904,194791,187200,132960,115233,67812,42137,44010
"Suède",88970,227217,223854,207481,191399,193277,179183,228365
"Slovenie",0,0,0,0,0,0,0,0
"Slovaquie",0,0,0,0,0,0,0,0
"Turquie",116114,348846,653666,688261,662567,601662,577902,526300
"Royaume-Uni",275741,680377,722326,651447,581871,513711,448521,401821
"Total",4812601,10054756,10292570,9307519,8225580,7812682,7575154,6794570
