"","2017","2016","2015","2014","2013","2012","2011","2010"
"Autriche",NA,654727,663965,590746,586954,619849,571758,480119
"Belgique",NA,449979,488032,493444,460506,392765,394971,347667
"Bulgarie",NA,0,0,0,0,0,38021,0
"Chypre",NA,60747,45502,55822,48797,45572,45804,45866
"Tchéquie",NA,107175,105386,116373,169080,148658,117414,121664
"Allemagne",NA,3167903,2986582,2854372,2863132,2917081,2968444,2630943
"Danemark",NA,360923,372522,395967,357676,368169,373855,326585
"Estonie",0,0,0,0,0,0,0,0
"Grece",NA,392613,372608,347594,283089,348275,359514,277175
"Espagne",NA,2668151,2384320,2193263,2122547,2138974,1991528,1646642
"Finlande",NA,102122,162782,140192,126832,119349,137252,77196
"France",NA,1672196,1604301,1624005,1558994,1487203,1429066,1343309
"Croatie",NA,55785,56739,0,0,36614,0,0
"Hongrie",NA,191108,184880,143406,187084,147572,180763,180902
"Irlande",NA,181988,165192,148529,155390,153333,140939,123752
"Iselande",0,0,0,0,0,0,0,0
"Italie",NA,989281,909947,820109,760008,752321,724545,660064
"Lituanie",0,0,0,0,0,0,0,0
"Luxembourg",NA,58726,61371,62598,58951,61307,61671,53034
"Lettonie",NA,0,39179,0,0,0,0,0
"Montenegro",0,0,0,0,0,0,0,0
"Macedoine",NA,76991,64198,45747,43750,74544,65469,47457
"Malte",NA,55566,45212,0,0,0,0,0
"Pays-bas",NA,941502,897501,839646,806621,769277,698189,624094
"Norvège",NA,79688,77789,87131,87171,90888,91432,83844
"Pologne",NA,166572,87598,106436,112231,113072,109323,103455
"Portugal",NA,1038089,894111,795991,750709,694719,653857,593771
"Roumanie",NA,0,44338,47719,60549,58663,0,48029
"Suède",NA,266226,276411,278635,249442,252303,239341,197264
"Slovenie",NA,48043,61219,42678,42354,38214,0,0
"Slovaquie",0,0,0,0,0,0,0,0
"Turquie",NA,701471,830104,831105,806932,750321,677697,550830
"Royaume-Uni",NA,3000100,2907664,2741561,2711536,2720616,2686068,2424498
