"","2017","2016","2015","2014","2013","2012","2011","2010"
"Autriche",45124,109308,109454,102140,84419,83141,73088,70703
"Belgique",0,21841,23837,25919,26992,12236,19997,20512
"Bulgarie",18586,39646,39627,0,27235,0,0,0
"Suisse",17090,61514,43676,49256,37822,40557,42873,44073
"Tchéquie",0,0,0,0,0,0,59699,58484
"Allemagne",35305,51019,76439,47188,87391,115209,107356,77210
"Danemark",0,0,0,0,0,0,0,0
"Estonie",0,0,0,0,0,0,0,0
"Grece",362621,756142,661687,567554,471371,530415,503535,541472
"Espagne",0,0,0,0,0,0,0,0
"Finlande",0,0,0,0,21054,0,0,0
"France",0,0,0,0,26239,0,0,47422
"Croatie",0,0,0,0,0,0,0,0
"Hongrie",0,0,0,0,30390,0,39845,0
"Irlande",0,0,0,0,0,0,0,0
"Iselande",0,0,0,0,0,0,0,0
"Italie",0,14498,17960,0,25059,13482,0,0
"Lituanie",0,0,0,0,0,0,0,0
"Luxembourg",0,0,0,0,0,0,0,0
"Lettonie",0,0,0,0,0,0,0,0
"Montenegro",0,0,0,0,0,0,0,0
"Macedoine",0,0,0,0,0,0,0,0
"Malte",24269,0,45891,36112,39464,0,0,48523
"Pays-bas",0,19112,20565,16901,35619,23496,36287,37611
"Norvège",9874,0,0,0,37868,41652,41938,0
"Pologne",25250,11343,10746,10085,10367,0,0,0
"Portugal",0,0,0,0,0,0,0,0
"Roumanie",30115,69168,64661,57323,56437,56371,51969,0
"Suède",29187,45375,44409,50651,82863,49744,51453,50477
"Slovenie",0,0,0,0,0,0,0,0
"Slovaquie",0,0,0,0,0,0,0,0
"Turquie",0,0,0,0,0,0,0,0
"Royaume-Uni",526842,1164777,1031493,987074,1062168,1113758,1206266,1143408
