"","2017","2016","2015","2014","2013","2012","2011","2010"
"Autriche",NA,70727,73526,78949,80419,75238,76303,66892
"Belgique",NA,210167,200127,153052,127067,113925,141735,138915
"Bulgarie",NA,130863,110471,107048,105046,124034,123332,112758
"Suisse",NA,140704,143448,156757,172322,147549,159873,158743
"Chypre",NA,0,0,0,0,0,64966,61471
"Allemagne",NA,580681,573952,528978,548783,531018,582160,560791
"Danemark",NA,126574,114303,101107,113849,96191,118617,120456
"Estonie",NA,0,0,0,0,0,0,0
"Grece",NA,318461,348632,326906,292101,276509,301173,327629
"Espagne",NA,418993,299902,266733,289913,301183,372706,332928
"Finlande",NA,141213,110523,105143,91760,73547,70501,67161
"France",NA,498989,435091,438276,479899,505914,510819,443332
"Croatie",NA,39643,0,0,0,0,0,0
"Hongrie",NA,40102,0,0,0,45345,77212,77536
"Irlande",NA,96301,99129,76118,53289,51086,43235,62082
"Iselande",0,0,0,0,0,0,0,0
"Italie",NA,522760,485492,449682,440172,455090,465242,421544
"Lituanie",NA,0,0,0,0,0,0,0
"Luxembourg",0,0,0,0,0,0,0,0
"Lettonie",NA,0,0,0,0,0,0,0
"Montenegro",0,0,0,0,0,0,0,0
"Macedoine",0,0,0,0,0,0,0,0
"Malte",0,0,0,0,0,0,0,0
"Pays-bas",NA,351928,276972,270458,262554,259340,273145,233027
"Norvège",NA,91086,84718,71800,64461,55182,97877,120379
"Pologne",NA,101141,93872,84388,79722,83778,109376,100231
"Portugal",NA,59770,53277,45814,42390,39864,0,0
"Roumanie",NA,38210,37816,41232,39088,53388,56976,50732
"Suède",NA,110784,102803,100635,91041,82840,86766,101737
"Slovenie",0,0,0,0,0,0,0,0
"Slovaquie",NA,45355,38000,0,0,0,57657,83718
"Turquie",NA,208702,313891,273881,243982,242563,231146,185517
"Royaume-Uni",NA,965543,872227,759374,700436,692447,655502,646656
