"","2017","2016","2015","2014","2013","2012","2011","2010"
"Autriche",NA,3176295,3145136,3144541,3067512,3095024,2919697,2822486
"Belgique",NA,883318,790802,698187,682543,691058,693413,577797
"Bulgarie",NA,483620,390928,398934,344269,256272,258139,223703
"Suisse",NA,3216483,3034913,2895771,2870863,2953702,2967945,2631111
"Chypre",NA,0,78135,47738,50406,126766,120490,62783
"Tchéquie",NA,488920,467517,439064,485397,464991,467207,434515
"Danemark",NA,1470007,1376368,1352076,1223791,1150892,1068791,947484
"Estonie",NA,139162,144988,132826,105886,127822,61409,0
"Grece",NA,1885340,1627751,1458486,1158405,1028741,1168008,1131637
"Espagne",NA,12333010,11007983,10929641,10032743,9683241,9715633,8788136
"Finlande",NA,864344,808677,849165,797726,825530,801103,712262
"France",NA,3245126,3177407,3309568,3279797,3371775,3301749,2975806
"Croatie",NA,396943,360825,303103,301659,300132,275211,195200
"Hongrie",NA,740650,669890,630010,657269,737330,721352,626088
"Irlande",NA,924572,865794,737866,691151,656607,631018,587158
"Iselande",NA,229684,123414,91832,52099,47976,46422,42572
"Italie",NA,5317048,4960949,4684731,4414823,4232256,4232831,3865510
"Lituanie",NA,185120,184229,147778,159350,171906,105218,84202
"Luxembourg",NA,202995,158542,155995,156933,147410,133446,89988
"Lettonie",NA,318644,305817,244881,229223,252641,208029,206117
"Montenegro",0,0,0,0,0,0,0,0
"Macedoine",NA,64214,55695,55454,30644,0,0,0
"Malte",NA,231662,248117,210494,231688,211771,167815,142945
"Pays-bas",NA,2076572,1965401,1800750,1695961,1666725,1630277,1367291
"Norvège",NA,672046,715597,729914,734415,743685,764387,726325
"Pologne",NA,1659535,1528364,1408207,1344778,1249109,1167503,1090043
"Portugal",NA,1560582,1434834,1300601,1063387,1043191,949130,848873
"Roumanie",NA,825351,773222,712709,659976,564590,438323,371926
"Suède",NA,1553930,1438241,1265286,1276243,1261664,1207233,1133972
"Slovenie",NA,108352,108231,105728,110573,61553,98229,97702
"Slovaquie",NA,50968,0,0,0,0,0,0
"Turquie",NA,5857125,6969666,6403650,6133120,6112011,5614568,5192979
"Royaume-Uni",NA,6187683,6084587,5744389,5583628,5574087,5428908,5162181
