"","2017","2016","2015","2014","2013","2012","2011","2010"
"Autriche",32088,168276,149539,187865,208385,211196,181251,173073
"Belgique",60866,363131,275035,233117,229398,242671,220678,194442
"Bulgarie",0,0,0,0,0,0,0,0
"Suisse",86689,320882,325588,345722,312450,320537,331727,327656
"Chypre",0,0,0,0,0,0,0,0
"Tchéquie",0,118609,104532,99170,107427,96719,115150,116896
"Allemagne",242890,1478454,1404785,1364892,1241489,1168880,1094395,957809
"Estonie",0,36783,49789,53539,56702,59899,62579,65480
"Grece",0,303627,246933,220008,189580,167441,174101,165688
"Espagne",229229,1414434,1141469,1089111,1052820,984714,994666,955187
"Finlande",84598,394530,389369,384982,377877,380401,342752,291378
"France",90851,696940,661486,648457,626829,638380,614187,529404
"Croatie",0,38221,0,0,0,0,0,0
"Hongrie",0,135865,96133,71303,67448,0,88131,82478
"Irlande",30996,141407,157724,137429,127428,99831,94560,88304
"Iselande",50148,264627,218956,205784,199914,189156,188147,168372
"Italie",63073,645579,494147,492940,444427,384540,316687,313316
"Lituanie",0,115038,95049,60100,65997,59951,57001,71780
"Luxembourg",0,0,39630,42550,0,0,0,0
"Lettonie",0,75125,72569,70711,66980,71722,65049,64232
"Montenegro",0,0,0,0,0,0,0,0
"Macedoine",0,0,0,0,0,0,0,0
"Malte",0,0,0,0,0,0,0,0
"Pays-bas",177461,805813,712942,677396,611438,607177,577228,477813
"Norvège",269969,1429798,1368397,1361121,1281645,1270314,1194182,1069954
"Pologne",28064,244643,181562,186905,154385,143082,138883,128564
"Portugal",0,85618,83945,94702,99263,76994,60647,62518
"Roumanie",0,0,0,0,0,0,0,0
"Suède",218324,987438,906731,916597,819785,798584,756126,724460
"Slovenie",0,0,0,0,0,0,0,0
"Slovaquie",0,0,0,0,0,0,0,0
"Turquie",30396,411617,484107,463009,399389,368307,345019,257745
"Royaume-Uni",372894,1809982,1598550,1400290,1281009,1201351,1199135,1048042
