"","2017","2016","2015","2014","2013","2012","2011","2010"
"Autriche",NA,208938,271835,247778,255442,162298,139991,192739
"Belgique",NA,402210,432210,380569,343059,330821,335052,322521
"Bulgarie",NA,74021,47527,49587,46275,49699,51371,49394
"Suisse",NA,466055,449508,398087,311708,357349,373813,343458
"Chypre",NA,705641,638783,550915,457475,522599,506338,547025
"Tchéquie",NA,206544,219660,182245,162056,159575,202027,252754
"Allemagne",NA,1995845,1816883,1691473,1490827,1307151,1539882,1572194
"Danemark",NA,296943,283488,281746,238542,212982,208677,191820
"Estonie",0,0,0,0,0,0,0,0
"Espagne",NA,206104,190961,146649,145622,202701,290438,301739
"Finlande",NA,138259,135017,137586,132817,125754,144275,100748
"France",NA,677413,699868,595641,517353,418628,551348,592493
"Croatie",0,0,0,0,0,0,0,0
"Hongrie",NA,72152,63131,11617,0,25436,105224,78698
"Irlande",NA,0,10376,10637,0,0,0,0
"Iselande",0,0,0,0,0,0,0,0
"Italie",NA,1061075,951737,814479,756754,681727,808103,778354
"Lituanie",NA,0,10078,0,10052,0,0,0
"Luxembourg",0,0,0,0,0,0,0,0
"Lettonie",0,0,0,0,0,0,0,0
"Montenegro",0,0,0,0,0,0,0,0
"Macedoine",0,0,0,0,0,0,0,0
"Malte",0,0,0,0,0,0,0,0
"Pays-bas",NA,726547,608870,627395,576936,518867,635516,527726
"Norvège",NA,132595,109417,176380,189355,184553,150442,138501
"Pologne",NA,366923,246503,243048,100980,56413,144299,76890
"Portugal",0,0,0,0,0,0,0,0
"Roumanie",NA,126944,75854,63553,58988,65205,68855,74081
"Suède",NA,315103,300219,291913,187882,181518,199246,190214
"Slovenie",0,0,0,0,0,0,0,0
"Slovaquie",NA,0,0,0,0,0,0,0
"Turquie",NA,387824,461571,390619,285214,245657,200951,183333
"Royaume-Uni",NA,2649465,2453433,2249491,1925978,1883574,1831875,1896418
"Total",NA,11216601,10476929,9541408,8193315,7692507,8487723,8411100
