"","2017","2016","2015","2014","2013","2012","2011","2010"
"Autriche",14945,570212,548067,487534,437404,471472,443554,385284
"Belgique",436853,2279286,2246294,2199377,1973954,1902670,1815264,1632628
"Bulgarie",0,125254,102961,124549,79685,85062,89566,98817
"Suisse",342571,2189289,2031412,1868566,2224462,2146963,2028507,1652235
"Chypre",0,0,0,0,0,0,0,0
"Tchéquie",0,276134,202010,191024,217553,238558,295993,282876
"Allemagne",1417449,12234636,10805291,10672186,9646296,9149013,9263629,8724959
"Danemark",250862,1306799,1038247,976740,939836,883703,884117,837286
"Estonie",0,12170,12401,12334,0,0,0,0
"Grece",0,215695,184135,156649,143068,200305,287198,296111
"Finlande",127867,608325,508134,549912,531543,412672,423739,351605
"France",767963,5276886,4987727,4376441,3895303,3969317,3872929,3269447
"Croatie",0,40820,0,0,0,0,0,0
"Hongrie",0,233791,203935,156950,125517,170931,123606,124768
"Irlande",255222,1684088,1443442,1265207,1233595,1181575,1141802,1117406
"Iselande",0,0,0,0,0,0,0,0
"Italie",753029,5233801,4712052,4097094,3795222,4263846,4545540,4200689
"Lituanie",0,50633,46624,41706,0,0,0,0
"Luxembourg",0,49982,46892,0,0,0,0,0
"Lettonie",0,40129,38181,41696,37803,38542,48258,43234
"Montenegro",0,0,0,0,0,0,0,0
"Macedoine",0,0,0,0,0,0,0,0
"Malte",0,58491,10283,10401,0,0,0,0
"Pays-bas",618771,3492103,2903240,2637787,2392669,2403092,2437227,2102363
"Norvège",145239,851720,754274,771332,786147,553112,544256,427732
"Pologne",0,336208,320951,196200,130557,117404,137730,77047
"Portugal",368350,1507292,1360715,1240395,1206728,1371314,1456305,1296450
"Roumanie",52451,498801,424584,347171,336153,288384,380401,361675
"Suède",230172,1236687,1096393,917530,766452,676137,748930,570714
"Slovenie",0,0,0,0,0,0,0,0
"Slovaquie",0,18847,18489,14444,0,0,0,0
"Turquie",0,612555,625980,588701,406646,312878,265814,251539
"Royaume-Uni",2765454,19246289,16384354,15464297,14565399,13790804,14059813,12770818
