"","2017","2016","2015","2014","2013","2012","2011","2010"
"Autriche",41672,84427,74854,76997,67663,64525,100385,93858
"Belgique",47628,83449,92040,91958,90504,103439,128813,98362
"Bulgarie",0,0,0,0,0,0,0,0
"Suisse",48151,100171,159215,139270,125495,119102,136671,78845
"Chypre",0,0,0,0,0,0,0,0
"Tchéquie",76913,140320,110245,105582,89898,70980,68653,65627
"Allemagne",465018,883717,845170,863333,828639,838322,828684,732503
"Danemark",207608,395872,392994,405133,415118,467093,389644,325594
"Estonie",61858,116103,101388,101280,97248,94948,90038,73204
"Grece",24228,112178,107617,109625,104910,103987,129923,55129
"Espagne",338038,618990,541983,604222,570676,459948,452678,361223
"France",128763,244476,207265,210668,212517,202051,233545,235852
"Croatie",22390,39525,0,0,0,0,0,0
"Hongrie",57552,115963,109157,107385,103995,89301,100582,95833
"Irlande",22536,41433,0,0,0,0,0,0
"Iselande",39803,74816,56059,39525,0,0,0,0
"Italie",115205,214996,234187,251737,223423,225498,203927,188146
"Lituanie",0,47662,41860,40774,50536,57351,57413,13891
"Luxembourg",0,0,0,0,0,0,0,0
"Lettonie",76277,143853,136541,136816,137056,163682,217114,190668
"Montenegro",0,0,0,0,0,0,0,0
"Macedoine",0,0,0,0,0,0,0,0
"Malte",0,0,0,0,0,0,0,0
"Pays-bas",155582,280227,254611,253338,241700,233422,235737,208293
"Norvège",116387,201712,192514,194068,183532,170596,163211,142072
"Pologne",48353,99649,90708,79907,97702,111542,95930,79714
"Portugal",0,0,0,0,0,0,0,38217
"Roumanie",0,0,0,0,0,0,0,0
"Suède",446681,864250,796893,734627,697613,694932,637044,572876
"Slovenie",0,0,0,0,0,0,0,0
"Slovaquie",0,0,0,0,0,0,0,0
"Turquie",49166,116139,209847,221417,208815,167974,143587,115948
"Royaume-Uni",263250,537100,534014,519231,465411,434385,458579,456181
