"","2017","2016","2015","2014","2013","2012","2011","2010"
"Autriche",55579,154355,143065,138657,137265,142755,140154,118272
"Belgique",41087,101893,87028,73666,65694,44389,45632,42344
"Bulgarie",0,0,0,0,0,0,0,0
"Suisse",25804,99742,86698,64191,48582,49919,46343,43974
"Chypre",0,0,0,0,0,0,0,0
"Tchéquie",0,32832,18997,17160,15965,10821,10216,12446
"Allemagne",293381,669258,654467,643311,624883,569264,538917,456160
"Danemark",17629,74247,59518,65546,58759,49994,37972,30113
"Estonie",0,0,0,0,0,0,0,0
"Grece",6957,16367,11139,0,0,0,0,0
"Espagne",25740,88700,76550,66383,39484,55393,61454,54418
"Finlande",20244,74567,61138,49560,51147,34067,10199,11020
"France",60005,216750,186098,165988,169974,148791,146607,114616
"Hongrie",0,0,0,22485,25278,13058,22087,11118
"Irlande",18060,52594,42207,34929,36753,26270,24215,29989
"Iselande",0,0,0,0,0,0,0,0
"Italie",28064,75729,97852,81691,40431,40380,37258,34075
"Lituanie",0,0,0,0,0,0,0,0
"Luxembourg",0,0,0,0,0,0,0,0
"Lettonie",0,0,0,0,0,0,0,0
"Montenegro",0,0,0,0,0,0,0,0
"Macedoine",11649,25081,23376,22526,23927,29333,28316,27505
"Malte",0,0,0,0,0,0,0,0
"Pays-bas",56537,137917,103196,67222,35352,39744,35486,33874
"Norvège",7016,70369,79201,77908,60776,55325,52537,41613
"Pologne",8378,0,0,0,0,0,0,0
"Portugal",0,0,0,0,0,0,0,0
"Roumanie",0,0,0,0,0,0,0,0
"Suède",27019,120762,75556,83895,67827,51960,31797,38987
"Slovenie",0,0,0,0,0,0,0,0
"Slovaquie",0,0,0,0,0,0,0,0
"Turquie",41811,78580,72110,72585,54333,52237,49096,29492
"Royaume-Uni",151118,521838,416703,381363,355491,304121,225915,220480
