"","2017","2016","2015","2014","2013","2012","2011","2010"
"Autriche",NA,51947,53142,54261,52233,54918,41128,0
"Belgique",NA,249353,249448,230684,212462,210689,149779,144321
"Bulgarie",NA,0,0,0,0,0,0,0
"Suisse",NA,196177,189894,146748,192781,151318,185505,184707
"Chypre",NA,0,0,0,0,0,38952,0
"Tchéquie",NA,38669,0,0,0,39258,75471,74942
"Allemagne",NA,725139,671947,635774,658934,657384,698725,618841
"Danemark",NA,116579,72295,47757,46833,0,87778,82778
"Estonie",0,0,0,0,0,0,0,0
"Grece",NA,61728,51648,0,0,0,52321,47805
"Espagne",NA,238155,209525,161651,129357,173767,128410,130838
"Finlande",NA,105472,99567,93294,87501,64656,91763,84982
"France",NA,232940,214583,182098,179290,227024,248991,230140
"Croatie",NA,0,0,0,0,0,0,0
"Irlande",NA,116499,99144,91447,83581,97424,87541,98189
"Iselande",0,0,0,0,0,0,0,0
"Italie",NA,377221,346153,289142,279647,284475,188527,192276
"Lituanie",0,0,0,0,0,0,0,0
"Luxembourg",0,0,0,0,0,0,0,0
"Lettonie",0,0,0,0,0,0,0,0
"Montenegro",0,0,0,0,0,0,0,0
"Macedoine",0,0,0,0,0,0,0,0
"Malte",NA,41104,0,0,0,0,0,0
"Pays-bas",NA,392128,264585,273621,285436,298962,274935,207152
"Norvège",NA,89419,71871,56998,62651,43892,42360,38854
"Pologne",NA,107409,100580,86848,92192,57897,69331,57988
"Portugal",NA,0,48356,38707,37691,38995,0,0
"Roumanie",NA,0,0,0,0,39959,62571,61111
"Suède",NA,156122,146379,86399,133389,94730,75181,67258
"Slovenie",0,0,0,0,0,0,0,0
"Slovaquie",0,0,0,0,0,0,0,0
"Turquie",NA,160057,235194,200014,82464,80854,122482,114358
"Royaume-Uni",NA,894596,736621,651666,600221,568329,517528,407968
