"","2017","2016","2015","2014","2013","2012","2011","2010"
"Autriche",NA,47241,42551,43530,46595,46028,40533,40135
"Belgique",NA,253011,262104,198620,211203,183214,171744,159691
"Bulgarie",0,0,0,0,0,0,0,0
"Suisse",NA,189141,169608,150489,157157,154823,141140,124504
"Chypre",0,0,0,0,0,0,0,0
"Tchéquie",NA,97089,99968,76738,53511,51089,43276,62391
"Allemagne",NA,868417,796963,686818,650960,614901,596993,575139
"Danemark",NA,140828,157413,132751,124443,99001,93873,87013
"Estonie",0,0,0,0,0,0,0,0
"Grece",NA,0,0,0,0,0,0,0
"Espagne",NA,1767359,1515705,1313745,1299475,1258591,1286009,1209572
"Finlande",NA,43390,0,0,0,0,0,0
"France",NA,711066,666746,612468,521834,508810,521436,533225
"Croatie",0,0,0,0,0,0,0,0
"Hongrie",NA,114340,96520,88167,79998,94276,85863,97265
"Iselande",NA,38927,0,0,0,0,0,0
"Italie",NA,385687,374740,278492,257927,296840,253510,260854
"Lituanie",NA,58075,60615,55287,56038,60772,90550,86117
"Luxembourg",0,0,0,0,0,0,0,0
"Lettonie",NA,60033,64679,58330,54295,59035,61672,75535
"Montenegro",0,0,0,0,0,0,0,0
"Macedoine",0,0,0,0,0,0,0,0
"Malte",NA,39126,38648,0,0,0,0,0
"Pays-bas",NA,613353,454774,408614,389131,381643,374454,333447
"Norvège",NA,50123,47095,43618,38570,41339,45954,0
"Pologne",NA,337801,316652,234578,248528,249990,299091,301499
"Portugal",NA,461228,398288,361306,317382,280981,266717,264556
"Roumanie",NA,61976,53129,51826,0,0,0,0
"Suède",NA,55080,40951,53697,55849,45954,0,0
"Slovenie",0,0,0,0,0,0,0,0
"Slovaquie",NA,66538,62779,49507,48333,46339,44108,44344
"Turquie",NA,88459,83090,74893,61424,42619,40231,37353
"Royaume-Uni",NA,6280994,5671595,5046722,4708245,4588808,4648073,4519988
