"","2017","2016","2015","2014","2013","2012","2011","2010"
"Autriche",0,0,0,0,0,0,0,0
"Belgique",0,0,0,0,0,0,0,0
"Bulgarie",0,0,0,0,0,0,0,0
"Suisse",0,0,0,0,0,0,0,0
"Chypre",0,0,0,0,0,0,0,0
"Tchéquie",0,0,0,0,0,0,0,0
"Allemagne",51063,230355,206316,119510,83472,49119,76304,71494
"Danemark",51634,269639,218370,204316,197264,188885,188112,168469
"Estonie",0,0,0,0,0,0,0,0
"Grece",0,0,0,0,0,0,0,0
"Espagne",0,0,72892,0,0,0,14973,11604
"Finlande",11528,71298,53816,37941,29666,28169,24577,17293
"France",37482,210908,130504,109712,89148,74953,65663,48646
"Croatie",0,0,0,0,0,0,0,0
"Hongrie",0,0,0,0,0,0,0,0
"Irlande",12402,39468,0,0,0,0,0,0
"Italie",0,0,0,0,0,0,0,0
"Lituanie",0,0,0,0,0,0,0,0
"Luxembourg",0,0,0,0,0,0,0,0
"Lettonie",0,0,0,0,0,0,0,0
"Montenegro",0,0,0,0,0,0,0,0
"Macedoine",0,0,0,0,0,0,0,0
"Malte",0,0,0,0,0,0,0,0
"Pays-bas",38508,157153,100984,78341,68163,59274,49572,43061
"Norvège",29521,155025,182718,157824,126859,114245,97580,85580
"Pologne",0,0,0,0,0,0,0,0
"Portugal",0,0,0,0,0,0,0,0
"Roumanie",0,0,0,0,0,0,0,0
"Suède",21438,91690,84435,73364,69604,70716,62111,52105
"Slovenie",0,0,0,0,0,0,0,0
"Slovaquie",0,0,0,0,0,0,0,0
"Turquie",0,0,0,0,0,0,0,0
"Royaume-Uni",183169,536557,422216,349092,290489,157782,186283,164023
