"","2017","2016","2015","2014","2013","2012","2011","2010"
"Autriche",41163,495431,550160,568742,543901,551392,555682,462794
"Belgique",317486,1504423,1653284,1558492,1358900,1327595,1309104,1168771
"Bulgarie",13719,126745,128401,131634,127745,152180,140366,106370
"Suisse",151333,996711,954555,837534,743168,693398,665162,591285
"Chypre",0,0,0,0,0,0,0,0
"Tchéquie",90924,384323,385802,322906,300552,299611,295513,271691
"Allemagne",893435,5660637,5211994,4740254,4704005,4585728,4496683,4084258
"Danemark",86341,645820,496356,497268,453139,388035,314060,307681
"Estonie",0,0,0,0,0,0,0,0
"Grece",123501,784046,714161,591935,485388,472262,614386,585326
"Espagne",901693,5125543,4714643,4168116,3883724,4351281,4694305,4387446
"Finlande",0,204074,209853,138749,181229,174670,160293,148430
"France",815562,4581150,4650624,4528825,4303955,4172233,4030490,3618152
"Croatie",0,0,0,0,0,0,0,0
"Hongrie",44873,414399,405504,323506,292799,309522,199817,214886
"Irlande",75095,482561,458290,335549,338247,366633,289708,312646
"Iselande",0,0,0,0,0,0,0,0
"Lituanie",22446,93736,88467,90514,72282,67944,0,0
"Luxembourg",0,64869,61732,56369,44462,0,0,0
"Lettonie",0,0,0,0,39032,81912,122802,41500
"Montenegro",0,0,0,0,0,0,0,0
"Macedoine",0,0,15145,14572,13868,13847,0,0
"Malte",44967,445616,346586,319098,286846,215595,194109,282460
"Pays-bas",390428,2243869,1994362,1803960,1640720,1545972,1478429,1319329
"Norvège",0,130585,107854,132574,106957,61545,96033,68433
"Pologne",31757,473269,448236,345288,331363,286400,318196,298484
"Portugal",146995,765984,708417,519533,464089,508528,491107,442231
"Roumanie",129599,1103020,883415,733576,635236,682793,773761,648392
"Suède",0,198530,194667,210729,190136,171124,175168,250206
"Slovenie",0,0,0,0,0,0,0,0
"Slovaquie",0,25079,16024,54343,73601,61683,67672,67317
"Turquie",81884,877898,1043364,964044,846917,660008,569649,410757
"Royaume-Uni",1087436,6207735,5582215,5114045,4838042,4751013,4352135,3984476
