"","2017","2016","2015","2014","2013","2012","2011","2010"
"Autriche",10303,51007,47192,40169,34609,29939,29198,27738
"Belgique",0,0,0,0,0,0,0,0
"Bulgarie",0,0,0,0,0,0,0,0
"Suisse",15052,85859,89138,91816,85528,86498,76831,68000
"Chypre",0,0,0,0,0,0,0,0
"Tchéquie",0,0,0,0,0,0,0,0
"Allemagne",45038,221232,173733,170745,156830,149402,136319,101085
"Danemark",0,25463,39511,40861,31261,26969,28907,28002
"Estonie",0,0,0,0,0,0,0,0
"Grece",0,0,0,10600,0,0,10411,0
"Espagne",7349,128073,99017,122522,131150,111802,101783,78475
"Finlande",0,0,0,0,0,0,0,0
"France",11377,72686,62644,52412,50774,46074,46991,43052
"Croatie",0,0,0,0,0,0,0,0
"Hongrie",0,0,0,0,0,0,0,0
"Irlande",0,0,0,0,0,0,0,0
"Iselande",0,0,0,0,0,0,0,0
"Italie",16972,94597,85955,75589,63799,39256,35516,31661
"Lituanie",0,0,0,0,0,0,0,0
"Lettonie",0,0,0,0,0,0,0,0
"Montenegro",0,0,0,0,0,0,0,0
"Macedoine",0,0,0,0,0,0,0,0
"Malte",0,0,0,0,0,0,0,0
"Pays-bas",17443,82587,73474,67512,61653,56702,52702,46445
"Norvège",0,0,0,0,0,0,0,0
"Pologne",0,0,0,0,0,0,0,0
"Portugal",56245,200402,156861,128840,83772,75144,69345,63560
"Roumanie",0,0,0,0,0,0,0,0
"Suède",0,0,0,0,0,0,0,0
"Slovenie",0,0,0,0,0,0,0,0
"Slovaquie",0,0,0,0,0,0,0,0
"Turquie",0,29528,57243,50069,28497,15874,19559,14765
"Royaume-Uni",57459,200859,199793,193366,186432,133338,120525,105531
