"","2017","2016","2015","2014","2013","2012","2011","2010"
"Autriche",NA,44561,44850,41230,35809,37740,0,22600
"Belgique",NA,0,48861,35309,55061,68489,78217,77958
"Bulgarie",0,0,0,0,0,0,0,0
"Suisse",NA,0,39320,22434,23436,24203,0,0
"Chypre",0,0,0,0,0,0,0,0
"Tchéquie",NA,0,0,0,0,0,0,30441
"Allemagne",NA,287774,216975,311811,301105,280276,142337,277401
"Danemark",NA,76571,75095,77319,73951,75406,71502,72358
"Estonie",NA,100426,90715,90486,95877,89964,84080,74221
"Grece",0,0,0,0,0,0,0,0
"Espagne",NA,39240,37714,40299,38682,38250,46162,41474
"Finlande",NA,130108,124337,126274,117529,146931,132825,189861
"France",NA,54622,56856,59189,56304,40600,49564,43042
"Croatie",0,0,0,0,0,0,0,0
"Hongrie",0,0,0,0,0,0,0,0
"Irlande",NA,58489,63265,57225,54035,57607,61040,75319
"Iselande",0,0,0,0,0,0,0,0
"Italie",NA,0,0,92805,97761,112593,122342,105060
"Lituanie",NA,82286,84306,88968,92371,91482,96987,80734
"Luxembourg",0,0,0,0,0,0,0,0
"Montenegro",0,0,0,0,0,0,0,0
"Macedoine",0,0,0,0,0,0,0,0
"Malte",0,0,0,0,0,0,0,0
"Pays-bas",NA,63874,59392,61536,52811,49008,46628,34825
"Norvège",NA,98500,94238,106423,133665,133663,96658,121733
"Pologne",NA,47103,43123,41033,32887,33887,0,27236
"Portugal",0,0,0,0,0,0,0,0
"Roumanie",0,0,0,0,0,0,0,0
"Suède",NA,115602,104591,83738,102760,97809,110044,112605
"Slovenie",0,0,0,0,0,0,0,0
"Slovaquie",0,0,0,0,0,0,0,0
"Turquie",NA,0,41324,82142,80147,91653,56854,75612
"Royaume-Uni",NA,269388,250420,272270,244447,207944,173094,255489
