"","2017","2016","2015","2014","2013","2012","2011","2010"
"Autriche",NA,50649,48132,NA,NA,NA,NA,NA
"Belgique",NA,17103,16208,NA,NA,NA,NA,NA
"Bulgarie",0,0,0,0,0,0,0,0
"Suisse",NA,87922,73020,NA,NA,NA,NA,NA
"Chypre",0,0,0,0,0,0,0,0
"Tchéquie",0,0,0,0,0,0,0,0
"Allemagne",NA,157058,89537,NA,NA,NA,NA,NA
"Danemark",NA,12452,0,NA,NA,NA,NA,NA
"Estonie",0,0,0,0,0,0,0,0
"Grece",0,0,0,0,0,0,0,0
"Espagne",NA,15858,0,NA,NA,NA,NA,NA
"Finlande",0,0,0,0,0,0,0,0
"France",NA,57014,56104,NA,NA,NA,NA,NA
"Croatie",NA,24667,23107,NA,NA,NA,NA,NA
"Hongrie",0,0,0,0,0,0,0,0
"Irlande",0,0,0,0,0,0,0,0
"Iselande",0,0,0,0,0,0,0,0
"Italie",NA,53104,56320,NA,NA,NA,NA,NA
"Lituanie",0,0,0,0,0,0,0,0
"Luxembourg",0,0,0,0,0,0,0,0
"Lettonie",0,0,0,0,0,0,0,0
"Montenegro",0,0,0,0,0,0,0,0
"Malte",0,0,0,0,0,0,0,0
"Pays-bas",NA,16351,16436,NA,NA,NA,NA,NA
"Norvège",NA,15531,0,NA,NA,NA,NA,NA
"Pologne",0,0,0,0,0,0,0,0
"Portugal",0,0,0,0,0,0,0,0
"Roumanie",0,0,0,0,0,0,0,0
"Suède",NA,79490,85810,NA,NA,NA,NA,NA
"Slovenie",NA,21734,22981,NA,NA,NA,NA,NA
"Slovaquie",NA,12310,0,NA,NA,NA,NA,NA
"Turquie",NA,115970,113087,NA,NA,NA,NA,NA
"Royaume-Uni",NA,36030,36972,NA,NA,NA,NA,NA
