"","2017","2016","2015","2014","2013","2012","2011","2010"
"Autriche",NA,51350,54167,47992,37675,35932,29373,24750
"Belgique",NA,57944,50675,43064,38339,37280,39886,34625
"Bulgarie",0,0,0,0,0,0,0,0
"Suisse",NA,52312,43303,34203,33129,34327,33806,32721
"Chypre",NA,0,45764,39055,38304,46636,47457,47431
"Tchéquie",0,0,0,0,0,0,0,0
"Allemagne",NA,210562,250847,247065,253610,213616,205905,170349
"Danemark",0,0,0,0,0,0,0,0
"Estonie",0,0,0,0,0,0,0,0
"Grece",NA,0,0,0,0,0,0,0
"Espagne",NA,43736,57521,29108,31134,34055,30522,35511
"Finlande",0,0,0,0,0,0,0,0
"France",NA,63539,116028,109746,94857,85399,86222,57761
"Croatie",0,0,0,0,0,0,0,0
"Hongrie",NA,38685,29409,27225,0,0,0,0
"Irlande",NA,38515,38625,29658,29611,28311,27169,28911
"Iselande",0,0,0,0,0,0,0,0
"Italie",NA,351916,400803,356979,317092,249654,202637,252586
"Lituanie",0,0,0,0,0,0,0,0
"Luxembourg",0,0,0,0,0,0,0,0
"Lettonie",0,0,0,0,0,0,0,0
"Montenegro",0,0,0,0,0,0,0,0
"Macedoine",0,0,0,0,0,0,0,0
"Pays-bas",NA,50920,48263,37420,37150,35454,33195,37375
"Norvège",0,0,0,0,0,0,0,0
"Pologne",0,0,0,0,0,0,0,0
"Portugal",0,0,0,0,0,0,0,0
"Roumanie",0,0,0,0,0,0,0,0
"Suède",NA,0,0,0,0,20163,20436,20018
"Slovenie",0,0,0,0,0,0,0,0
"Slovaquie",0,0,0,0,0,0,0,0
"Turquie",NA,67105,60657,31132,0,0,0,0
"Royaume-Uni",NA,475188,560399,501951,468073,429798,447529,407357
