"","2017","2016","2015","2014","2013","2012","2011","2010"
"Autriche",0,74748,63130,64719,67204,66833,70852,69353
"Belgique",67140,124803,128125,123176,116130,119862,123769,114986
"Bulgarie",0,0,0,0,0,0,0,0
"Suisse",40972,82351,81919,95373,96297,97226,96501,89027
"Chypre",0,0,0,0,0,40865,41061,0
"Tchéquie",0,69684,68345,63832,68161,55381,69644,78955
"Allemagne",337533,680208,722630,764044,779209,797921,840977,783929
"Danemark",660161,1398253,1355449,1342504,1251429,1256166,1168656,1057411
"Estonie",0,70488,70067,62045,60522,67360,60179,42884
"Grece",0,71754,105988,75718,110360,68158,57302,54564
"Espagne",468798,1085584,968535,1081771,1060872,793108,706351,623886
"Finlande",121432,203806,193765,194408,178637,170818,160440,139162
"France",125671,330386,354465,352919,311314,312693,300215,275032
"Croatie",0,47293,10330,36638,0,9968,0,0
"Hongrie",38924,92491,71812,56647,63565,61801,41422,38163
"Irlande",0,68806,73712,67955,62494,40555,45022,26707
"Iselande",72215,153448,148714,129664,122667,112670,94415,83772
"Italie",39961,145514,135673,156155,160204,118824,145054,130547
"Lituanie",54728,111828,105943,83893,58349,26552,24142,10806
"Luxembourg",0,0,0,0,0,0,0,0
"Lettonie",69744,157476,140248,124205,121696,123557,127369,142429
"Montenegro",0,0,0,0,0,0,0,0
"Macedoine",0,14559,0,0,0,0,0,0
"Malte",0,0,0,0,0,0,0,0
"Pays-bas",436921,877339,858736,831722,801317,793249,725223,652865
"Pologne",230252,690713,704611,531445,437726,338135,227460,183626
"Portugal",0,100691,118753,101395,57929,62241,36970,36983
"Roumanie",10296,18724,16013,15427,0,0,0,0
"Suède",393020,816240,753031,754515,655744,636934,621016,535101
"Slovenie",0,0,0,0,0,0,0,0
"Slovaquie",0,0,0,0,0,0,0,0
"Turquie",45578,151474,217653,223657,310014,282882,206837,171367
"Royaume-Uni",528148,1181241,1284428,1242909,1252810,1075088,954086,925731
