"","2017","2016","2015","2014","2013","2012","2011","2010"
"Autriche",NA,137796,138562,142968,147670,146587,144526,124911
"Belgique",NA,315629,324411,244415,214595,141588,193535,183719
"Bulgarie",NA,153626,51503,31382,39282,38418,24531,26858
"Suisse",NA,199124,91565,110154,118522,117915,112066,106232
"Chypre",0,0,0,0,0,0,0,0
"Tchéquie",NA,96429,88337,79583,75403,80787,108006,100955
"Allemagne",NA,1777055,1663633,1524572,1457127,1410398,1304436,1267501
"Danemark",NA,282225,259305,223533,190206,163766,152570,127262
"Estonie",0,0,0,0,0,0,0,0
"Grece",NA,380511,150315,111271,12308,11804,116070,46176
"Espagne",NA,567150,390144,319263,274993,225719,229631,156107
"Finlande",NA,123411,92509,83150,102171,113466,98810,82831
"France",NA,497236,473506,405967,422211,370073,378648,320813
"Croatie",0,0,0,0,0,0,0,0
"Hongrie",NA,104988,95819,85275,89588,57831,65735,56466
"Irlande",NA,447398,403458,372796,391414,413633,460925,378283
"Iselande",0,0,0,0,0,0,0,0
"Italie",NA,614725,598046,505981,413946,392076,416911,406185
"Lituanie",NA,62429,50664,49369,45926,0,0,0
"Luxembourg",0,0,0,0,0,0,0,0
"Lettonie",NA,47782,43137,39668,0,0,0,0
"Montenegro",0,0,0,0,0,0,0,0
"Macedoine",0,0,0,0,0,0,0,0
"Malte",NA,46386,10747,10503,0,0,0,0
"Pays-bas",NA,476265,390867,331203,253979,254327,232966,193831
"Norvège",NA,816912,784291,562989,417169,350112,327717,210957
"Portugal",NA,52560,46745,0,0,0,0,0
"Roumanie",NA,56959,52231,50219,38602,38008,0,0
"Suède",NA,441104,348960,308038,183185,157367,174986,133570
"Slovenie",0,0,0,0,0,0,0,0
"Slovaquie",0,0,0,0,0,0,0,0
"Turquie",NA,96917,251440,255993,202351,207053,243929,202687
"Royaume-Uni",NA,3203015,2866716,2386464,2210183,1988786,2060026,1673804
"Total",NA,10997632,9666911,8234756,7300831,6679714,6846024,5799148
