"","2017","2016","2015","2014","2013","2012","2011","2010"
"Autriche",NA,84189,78291,57425,52690,11911,11646,10985
"Belgique",NA,623218,587208,511728,338648,350073,311622,285992
"Bulgarie",0,0,0,0,0,0,0,0
"Suisse",NA,894066,777346,744688,711139,693062,637066,569688
"Chypre",0,0,0,0,0,0,0,0
"Tchéquie",NA,42031,42900,40012,0,0,0,0
"Allemagne",NA,1531537,1272922,1170601,985248,978407,907132,787251
"Danemark",NA,92555,90092,114087,113009,86883,72294,77448
"Estonie",0,0,0,0,0,0,0,0
"Grece",0,0,0,0,0,0,0,0
"Espagne",NA,1430308,1290050,1202769,1136110,1285520,1456736,1309058
"Finlande",NA,0,0,19415,18088,18918,20090,58889
"France",NA,2635747,2250454,1991075,1630080,1382105,1220969,1083636
"Croatie",0,0,0,0,0,0,0,0
"Hongrie",NA,0,48122,0,0,0,0,0
"Irlande",NA,413817,356794,314583,281299,220735,239591,203976
"Iselande",0,0,0,0,0,0,0,0
"Italie",NA,707628,634610,466370,454957,484383,469490,441461
"Lituanie",0,0,0,0,0,0,0,0
"Luxembourg",NA,201334,159201,129604,50906,50958,44444,41049
"Lettonie",0,0,0,0,0,0,0,0
"Montenegro",0,0,0,0,0,0,0,0
"Macedoine",0,0,0,0,0,0,0,0
"Malte",0,0,0,0,0,0,0,0
"Pays-bas",NA,962145,803209,712449,658438,562018,526310,427354
"Norvège",NA,55271,63846,69140,61686,52402,39494,38436
"Pologne",NA,51442,47650,12363,11771,0,0,0
"Roumanie",0,0,0,0,0,0,0,0
"Suède",NA,45061,46044,56316,41545,0,0,0
"Slovenie",0,0,0,0,0,0,0,0
"Slovaquie",0,0,0,0,0,0,0,0
"Turquie",NA,87697,86707,67178,48806,40689,0,0
"Royaume-Uni",NA,3280099,2958679,2794600,2509437,2298709,2437600,2142752
