"","2017","2016","2015","2014","2013","2012","2011","2010"
"Autriche",NA,236977,223669,237957,243806,288382,246301,210128
"Belgique",NA,260517,244021,130101,143153,87041,115790,109781
"Bulgarie",0,0,0,0,0,0,0,0
"Suisse",NA,0,55864,44060,62460,60077,39856,51572
"Chypre",NA,68833,62238,57225,53638,55266,52250,63035
"Tchéquie",NA,41455,41394,0,0,53099,54928,50883
"Allemagne",NA,945885,854919,764019,665110,558915,618677,501805
"Danemark",0,0,0,0,0,0,0,0
"Estonie",0,0,0,0,0,0,0,0
"Grece",NA,127103,75598,0,61170,65467,68978,76589
"Espagne",NA,604910,512882,392642,441066,415764,550532,487822
"Finlande",0,0,0,0,0,0,0,0
"France",NA,350402,350007,327312,323990,295248,299699,266862
"Croatie",0,0,0,0,0,0,0,0
"Hongrie",NA,13911,17151,15351,16511,39363,90281,77731
"Irlande",NA,89970,67045,0,0,8502,15531,20571
"Iselande",0,0,0,0,0,0,0,0
"Italie",NA,1278843,1011742,776885,809541,810184,961660,843832
"Lituanie",0,0,0,0,0,0,0,0
"Luxembourg",0,0,0,0,0,0,0,0
"Lettonie",0,0,0,0,0,0,0,0
"Montenegro",0,0,0,0,0,0,0,0
"Macedoine",0,0,0,0,0,0,0,0
"Malte",0,0,0,0,0,0,0,0
"Pays-bas",NA,252071,229283,220261,185520,167103,168106,145906
"Norvège",0,0,0,0,0,0,0,0
"Pologne",NA,57982,55726,0,41342,42293,0,29436
"Portugal",NA,0,0,0,0,0,0,12798
"Suède",NA,19999,15541,0,0,0,0,0
"Slovenie",0,0,0,0,0,0,0,0
"Slovaquie",NA,0,0,0,0,0,0,0
"Turquie",NA,220467,245771,221796,171972,200213,179242,169941
"Royaume-Uni",NA,907194,728109,523865,412325,372503,347373,282558
