"","2017","2016","2015","2014","2013","2012","2011","2010"
"Autriche",0,152408,153655,133575,144737,136098,180272,173973
"Belgique",37700,252201,244432,222959,212438,235382,225941,224913
"Bulgarie",0,15739,15784,0,0,0,0,0
"Suisse",43266,263611,272314,275843,247733,255246,245723,208668
"Chypre",0,56288,54093,52698,65741,96945,95091,94896
"Tchéquie",0,120914,108619,89022,92702,78831,81133,66666
"Allemagne",317695,1599927,1458156,1281880,1369079,1345547,1273856,1146524
"Danemark",218276,964558,879540,896050,815953,823611,775613,744046
"Estonie",0,67712,47222,45977,64628,86351,52057,56938
"Grece",0,308901,266227,231317,131606,192129,207117,186840
"Espagne",194232,1460846,1316469,1176774,1062276,1067991,970875,767077
"Finlande",178411,823660,738254,707918,663424,601541,570979,484982
"France",62389,484339,479895,499169,453195,430603,464326,381991
"Croatie",0,71042,0,0,0,0,0,0
"Hongrie",17337,143386,143403,138570,166626,130479,179586,161805
"Irlande",0,53985,38853,52513,74263,71884,34880,27071
"Iselande",0,104583,83689,73670,69949,70089,61063,51617
"Italie",12348,269704,193482,236413,226120,222791,231284,277482
"Lituanie",0,86227,0,0,11061,13453,12007,0
"Luxembourg",0,0,0,0,0,0,0,0
"Lettonie",0,113850,101985,83840,101971,94217,105555,110743
"Montenegro",0,0,0,0,0,0,0,0
"Macedoine",8220,54160,58521,66888,26781,0,0,0
"Malte",0,20126,19132,16264,17788,20143,20519,20593
"Pays-bas",132509,553022,519904,481741,494028,490095,454601,424241
"Norvège",176149,820423,743534,739491,662009,683052,663498,573028
"Pologne",58916,473661,381305,361164,278107,269710,232447,198502
"Portugal",0,44687,46147,44733,52303,38539,0,0
"Roumanie",0,50752,31405,11013,0,0,0,0
"Slovenie",0,0,0,0,0,0,0,0
"Slovaquie",0,0,0,0,0,0,0,0
"Turquie",17654,383080,532370,570105,559517,481882,445144,318269
"Royaume-Uni",267686,1372737,1318483,1177046,1182833,1174636,1185146,978472
