"","2017","2016","2015","2014","2013","2012","2011","2010"
"Autriche",NA,403710,533584,488557,486922,496848,NA,NA
"Belgique",NA,381706,665826,700018,668291,616247,NA,NA
"Bulgarie",NA,82888,86470,80795,75391,58230,NA,NA
"Suisse",NA,517479,594481,605181,588091,619000,NA,NA
"Chypre",0,0,0,0,0,0,0,0
"Tchéquie",NA,127013,202081,207918,200404,177213,NA,NA
"Allemagne",NA,5869058,7117988,6512160,6152012,6255490,NA,NA
"Danemark",NA,423818,486957,477994,469717,411765,NA,NA
"Estonie",NA,0,45062,42806,0,0,NA,NA
"Grece",NA,380479,442475,383612,283086,216684,NA,NA
"Espagne",NA,579252,587989,531603,345884,288529,NA,NA
"Finlande",NA,137009,212789,213823,184673,155431,NA,NA
"France",NA,1027796,1149257,1117703,1030624,866748,NA,NA
"Croatie",NA,64034,74264,74403,54387,53301,NA,NA
"Hongrie",NA,165043,233962,198259,86402,85969,NA,NA
"Irlande",NA,85560,82562,73011,60479,69840,NA,NA
"Iselande",0,0,0,0,0,0,0,0
"Italie",NA,859274,942226,900665,741822,637914,NA,NA
"Lituanie",NA,60721,102009,57676,48875,0,NA,NA
"Luxembourg",0,0,0,0,0,0,0,0
"Lettonie",NA,0,40316,43760,45127,62293,NA,NA
"Montenegro",NA,39973,0,0,0,0,NA,NA
"Macedoine",NA,70478,69117,67579,63428,50210,NA,NA
"Malte",NA,65575,57652,0,0,0,NA,NA
"Pays-bas",NA,1014466,1265596,1291377,1250912,1136218,NA,NA
"Norvège",NA,166194,215420,205172,238145,218155,NA,NA
"Pologne",NA,69246,262358,238852,196712,190757,NA,NA
"Portugal",NA,87194,87962,66016,48248,41456,NA,NA
"Roumanie",NA,218928,248007,222102,209714,202101,NA,NA
"Suède",NA,370297,530107,541040,559773,484685,NA,NA
"Slovenie",NA,48376,59676,54614,55548,46289,NA,NA
"Slovaquie",NA,0,58578,61199,64041,54816,NA,NA
"Royaume-Uni",NA,1946150,2461346,2490288,2306822,2254339,NA,NA
"Total",NA,15261717,18916117,17948183,16515530,15750528,NA,NA
