unit,tra_meas,airp_pr\time	2017Q2 	2017Q1 	2017M06 	2017M05 	2017M04 	2017M03 	2017M02 	2017M01 	2016Q4 	2016Q3 	2016Q2 	2016Q1 	2016M12 	2016M11 	2016M10 	2016M09 	2016M08 	2016M07 	2016M06 	2016M05 	2016M04 	2016M03 	2016M02 	2016M01 	2016 
FLIGHT,CAF_PAS,ME_LYPG_AT_LOWW	283 	200 	100 	98 	85 	72 	64 	64 	259 	310 	290 	210 	68 	70 	121 	98 	106 	106 	102 	96 	92 	74 	68 	68 	1069 
FLIGHT,CAF_PAS,ME_LYPG_BE_EBCI	52 	52 	18 	16 	18 	18 	16 	18 	52 	52 	52 	52 	18 	16 	18 	18 	16 	18 	18 	18 	16 	18 	18 	16 	208 
FLIGHT,CAF_PAS,ME_LYPG_CH_LSZH	: 	: 	: 	: 	: 	: 	: 	: 	78 	148 	113 	60 	25 	22 	31 	42 	52 	54 	47 	36 	30 	20 	16 	24 	399 
FLIGHT,CAF_PAS,ME_LYPG_DE_EDDB	53 	52 	18 	17 	18 	18 	16 	18 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 
FLIGHT,CAF_PAS,ME_LYPG_DE_EDDF	: 	: 	: 	: 	: 	: 	: 	: 	69 	125 	90 	57 	21 	16 	32 	38 	43 	44 	38 	26 	26 	18 	16 	23 	341 
FLIGHT,CAF_PAS,ME_LYPG_FR_LFPG	: 	: 	: 	: 	: 	: 	: 	: 	72 	186 	161 	54 	22 	16 	34 	48 	70 	68 	52 	70 	39 	18 	16 	20 	473 
FLIGHT,CAF_PAS,ME_LYPG_IT_LIRF	258 	157 	88 	84 	86 	58 	46 	53 	163 	202 	181 	156 	52 	49 	62 	62 	72 	68 	61 	62 	58 	54 	50 	52 	702 
FLIGHT,CAF_PAS,ME_LYPG_RS_LYBE	929 	875 	301 	320 	308 	306 	265 	304 	898 	930 	937 	864 	306 	284 	308 	304 	315 	311 	304 	325 	308 	305 	266 	293 	3629 
FLIGHT,CAF_PAS,ME_LYPG_RU_UUDD	: 	: 	: 	: 	: 	: 	: 	: 	8 	159 	65 	1 	2 	: 	6 	36 	57 	66 	58 	7 	: 	: 	1 	: 	233 
FLIGHT,CAF_PAS,ME_LYPG_SI_LJLJ	191 	151 	79 	62 	50 	52 	46 	53 	150 	158 	155 	153 	46 	52 	52 	52 	54 	52 	52 	52 	51 	54 	50 	49 	616 
FLIGHT,CAF_PAS,ME_LYPG_TR_LTBA	310 	156 	106 	104 	100 	66 	46 	44 	220 	310 	306 	158 	58 	58 	104 	102 	108 	100 	102 	106 	98 	62 	48 	48 	994 
FLIGHT,CAF_PAS,ME_LYPG_UK_EGSS	52 	54 	16 	18 	18 	18 	16 	20 	54 	52 	52 	54 	20 	16 	18 	16 	18 	18 	18 	18 	16 	18 	16 	20 	212 
FLIGHT,CAF_PAS,ME_LYTV_BY_UMMS	: 	: 	: 	: 	: 	: 	: 	: 	6 	176 	64 	: 	: 	: 	6 	56 	57 	63 	54 	8 	2 	: 	: 	: 	246 
