unit,tra_meas,airp_pr\time	2017Q2 	2017Q1 	2017M07 	2017M06 	2017M05 	2017M04 	2017M03 	2017M02 	2017M01 	2016Q4 	2016Q3 	2016Q2 	2016Q1 	2016M12 	2016M11 	2016M10 	2016M09 	2016M08 	2016M07 	2016M06 	2016M05 	2016M04 	2016M03 	2016M02 	2016M01 	2016 	2015Q4 	2015Q3 	2015Q2 	2015Q1 	2015M12 	2015M11 	2015M10 	2015M09 	2015M08 	2015M07 	2015M06 	2015M05 	2015M04 	2015M03 	2015M02 	2015M01 	2015 
FLIGHT,CAF_PAS,MK_LWSK_AE_OMDB	: 	: 	: 	: 	: 	: 	: 	: 	: 	52 	52 	52 	50 	18 	16 	18 	18 	18 	16 	18 	18 	16 	18 	18 	14 	206 	54 	72 	66 	54 	18 	18 	18 	18 	28 	26 	26 	22 	18 	18 	16 	20 	246 
FLIGHT,CAF_PAS,MK_LWSK_AT_LOWW	295 	250 	115 	106 	98 	91 	92 	68 	90 	288 	315 	290 	265 	94 	92 	102 	103 	106 	106 	100 	97 	93 	93 	83 	89 	1158 	273 	313 	302 	283 	82 	89 	102 	101 	106 	106 	96 	104 	102 	98 	88 	97 	1171 
FLIGHT,CAF_PAS,MK_LWSK_BE_EBCI	52 	52 	20 	18 	18 	16 	18 	16 	18 	52 	52 	52 	51 	16 	16 	20 	16 	18 	18 	16 	18 	18 	16 	18 	17 	207 	48 	52 	52 	50 	12 	18 	18 	16 	18 	18 	18 	18 	16 	18 	16 	16 	202 
FLIGHT,CAF_PAS,MK_LWSK_CH_LSZH	240 	218 	100 	70 	80 	90 	76 	60 	82 	246 	321 	230 	243 	82 	76 	88 	86 	117 	118 	72 	80 	78 	78 	76 	89 	1040 	296 	322 	242 	164 	114 	82 	100 	100 	114 	108 	76 	88 	78 	54 	48 	62 	1024 
FLIGHT,CAF_PAS,MK_LWSK_DE_EDDB	78 	50 	26 	26 	26 	26 	18 	16 	16 	54 	52 	52 	6 	18 	16 	20 	16 	18 	18 	16 	18 	18 	6 	: 	: 	164 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 
FLIGHT,CAF_PAS,MK_LWSK_DE_EDDH	52 	50 	18 	16 	18 	18 	16 	16 	18 	47 	54 	42 	: 	14 	17 	16 	18 	18 	18 	16 	18 	8 	: 	: 	: 	143 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 
FLIGHT,CAF_PAS,MK_LWSK_DE_EDDK	77 	56 	26 	26 	26 	25 	18 	16 	22 	77 	80 	79 	58 	28 	25 	24 	26 	28 	26 	26 	26 	27 	22 	16 	20 	294 	63 	78 	54 	53 	21 	16 	26 	26 	26 	26 	18 	18 	18 	19 	16 	18 	248 
FLIGHT,CAF_PAS,MK_LWSK_DE_EDDN	: 	: 	: 	: 	: 	: 	: 	: 	: 	52 	52 	52 	52 	18 	16 	18 	18 	16 	18 	18 	18 	16 	18 	16 	18 	208 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 
FLIGHT,CAF_PAS,MK_LWSK_DE_EDFH	78 	54 	26 	26 	26 	26 	18 	16 	20 	58 	74 	56 	58 	22 	16 	20 	22 	26 	26 	20 	18 	18 	22 	16 	20 	246 	51 	74 	52 	50 	17 	16 	18 	22 	26 	26 	18 	18 	16 	18 	16 	16 	227 
FLIGHT,CAF_PAS,MK_LWSK_DE_EDJA	52 	71 	22 	18 	16 	18 	20 	24 	27 	79 	78 	78 	78 	27 	26 	26 	26 	26 	26 	26 	26 	26 	28 	24 	26 	313 	79 	78 	78 	78 	27 	24 	28 	26 	26 	26 	26 	26 	26 	26 	24 	28 	313 
FLIGHT,CAF_PAS,MK_LWSK_DE_EDLW	78 	76 	26 	26 	26 	26 	26 	24 	26 	75 	80 	78 	78 	24 	25 	26 	26 	28 	26 	26 	26 	26 	28 	24 	26 	311 	76 	78 	78 	76 	24 	24 	28 	26 	26 	26 	26 	26 	26 	26 	24 	26 	308 
FLIGHT,CAF_PAS,MK_LWSK_DE_EDNY	52 	50 	20 	16 	18 	18 	17 	15 	18 	50 	52 	52 	53 	14 	18 	18 	16 	18 	18 	18 	18 	16 	18 	18 	17 	207 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 
FLIGHT,CAF_PAS,MK_LWSK_DK_EKCH	52 	52 	22 	18 	18 	16 	18 	16 	18 	47 	52 	53 	6 	14 	17 	16 	16 	18 	18 	19 	18 	16 	6 	: 	: 	158 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 
FLIGHT,CAF_PAS,MK_LWSK_ES_LEBL	: 	: 	: 	: 	: 	: 	: 	: 	: 	49 	54 	52 	52 	14 	17 	18 	18 	18 	18 	16 	18 	18 	18 	16 	18 	207 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 
FLIGHT,CAF_PAS,MK_LWSK_FR_LFOB	: 	: 	: 	: 	: 	: 	: 	: 	: 	50 	54 	52 	52 	14 	18 	18 	18 	18 	18 	16 	18 	18 	18 	16 	18 	208 	51 	74 	52 	52 	17 	16 	18 	22 	26 	26 	18 	18 	16 	18 	16 	18 	229 
