"","2017","2016","2015","2014","2013","2012","2011","2010"
"Autriche",110269,199035,211662,217789,205930,200879,203183,193664
"Bulgarie",37032,39938,0,0,0,0,0,0
"Suisse",222795,400541,427349,428295,398377,395259,398009,349570
"Chypre",0,0,0,0,0,0,0,0
"Tchéquie",120704,209202,200880,132706,126916,113697,122808,107004
"Allemagne",464809,886923,794667,700723,685303,680726,696310,579618
"Danemark",163890,363158,242575,233117,229091,242607,220742,194293
"Estonie",0,0,0,0,0,0,0,0
"Grece",108679,285821,371828,237913,169118,173091,197063,197186
"Espagne",1068357,2362218,2247402,2092700,1824832,1719610,1677580,1404940
"Finlande",47758,83750,92796,92444,91037,92500,113958,98771
"France",354674,790168,798875,764173,663932,622089,553885,496594
"Croatie",0,49269,0,0,0,0,0,0
"Hongrie",138366,249086,249744,230600,205002,210810,149933,144273
"Irlande",109704,252748,262599,198862,199323,170634,171714,160086
"Iselande",0,0,0,0,0,0,0,0
"Italie",625028,1285476,1370145,1308621,1122954,1109784,1081680,994287
"Lituanie",0,0,0,0,0,0,0,0
"Luxembourg",0,0,0,0,0,0,0,0
"Lettonie",0,0,48663,0,0,0,77928,39160
"Montenegro",0,0,0,0,0,0,0,0
"Macedoine",0,0,0,0,0,0,0,0
"Malte",60227,58148,51411,43362,38516,37504,39887,0
"Pays-bas",60445,106349,117136,121476,111736,107192,115028,115464
"Norvège",67612,108727,107697,99085,87520,87687,87675,84336
"Pologne",176303,316450,326071,246094,195494,165476,143851,128936
"Portugal",289110,622319,588131,493836,320248,298814,296368,274315
"Roumanie",115260,200362,192959,134630,117825,67493,41554,43359
"Suède",85918,227074,225221,203594,192402,192943,177435,225093
"Slovenie",0,0,0,0,0,0,0,0
"Slovaquie",0,0,0,0,0,0,0,0
"Turquie",116135,364832,656169,690161,669238,600810,574383,520598
"Royaume-Uni",261157,645995,690997,618718,562845,488202,432778,397393
"Total",4804232,10107589,10274977,9288899,8217639,7777807,7573752,6748940
