"","2017","2016","2015","2014","2013","2012","2011","2010"
"Autriche",0,0,0,0,0,0,0,0
"Belgique",0,0,0,0,0,0,0,0
"Bulgarie",0,0,0,0,0,0,0,0
"Suisse",0,0,0,0,0,0,0,0
"Chypre",0,0,0,0,0,0,0,0
"Tchéquie",0,0,0,0,0,0,0,0
"Allemagne",51925,230020,205536,117463,81349,47560,75720,72113
"Danemark",49706,263759,218812,204351,198878,189323,187061,167298
"Estonie",0,0,0,0,0,0,0,0
"Grece",0,0,0,0,0,0,0,0
"Espagne",0,0,69939,0,0,0,15009,11584
"Finlande",12020,75501,56350,39472,30360,28360,24587,17249
"France",39058,216220,136185,114766,91633,76338,67140,49227
"Croatie",0,0,0,0,0,0,0,0
"Hongrie",0,0,0,0,0,0,0,0
"Irlande",12346,38998,0,0,0,0,0,0
"Italie",0,0,0,0,0,0,0,0
"Lituanie",0,0,0,0,0,0,0,0
"Luxembourg",0,0,0,0,0,0,0,0
"Lettonie",0,0,0,0,0,0,0,0
"Montenegro",0,0,0,0,0,0,0,0
"Macedoine",0,0,0,0,0,0,0,0
"Malte",0,0,0,0,0,0,0,0
"Pays-bas",37626,157034,102482,79770,68570,59376,49821,42549
"Norvège",29031,154000,178682,162507,123133,113817,95142,83873
"Pologne",0,0,0,0,0,0,0,0
"Portugal",0,0,0,0,0,0,0,0
"Roumanie",0,0,0,0,0,0,0,0
"Suède",20338,92326,83412,73967,69854,69721,60849,51362
"Slovenie",0,0,0,0,0,0,0,0
"Slovaquie",0,0,0,0,0,0,0,0
"Turquie",0,0,0,0,0,0,0,0
"Royaume-Uni",182276,530594,416619,345150,285991,156773,183544,157800
"Total",434326,1758452,1468017,1137446,949768,741268,758873,653055
