"","2017","2016","2015","2014","2013","2012","2011","2010"
"Autriche",46401,507231,555107,566280,533956,531916,545527,459716
"Belgique",317358,1492941,1651195,1556083,1355175,1332184,1319457,1172001
"Bulgarie",14216,127250,129359,131763,127560,151843,142151,108271
"Suisse",154377,1002065,959834,830239,746883,704818,681860,599937
"Chypre",0,0,0,0,0,0,0,0
"Tchéquie",91962,386297,385537,322129,300184,301898,301725,274810
"Allemagne",891071,5548116,5151154,4707098,4651437,4531267,4459005,4074697
"Danemark",88536,645937,493413,492573,443232,383272,315018,311435
"Estonie",0,0,0,0,0,0,0,0
"Grece",128980,799235,731738,604839,493741,486425,623797,591007
"Espagne",936026,5156516,4735899,4179428,3913784,4402701,4757854,4415634
"Finlande",0,216694,220124,149971,192182,182458,164721,157094
"France",840307,4639561,4729694,4596056,4349909,4228298,4040510,3630571
"Croatie",0,0,0,0,0,0,0,0
"Hongrie",46638,418329,409582,321964,296801,307468,200660,216466
"Irlande",72364,476452,455813,338866,329590,361617,281547,306852
"Iselande",0,0,0,0,0,0,0,0
"Lituanie",22728,91670,88532,88433,71797,69122,0,0
"Luxembourg",0,64904,60455,55692,45243,0,0,0
"Lettonie",0,0,0,0,38417,78032,122254,39825
"Montenegro",0,0,0,0,0,0,0,0
"Macedoine",0,0,15982,14980,14608,14503,0,0
"Malte",42624,447510,344774,316237,286771,206871,197800,285923
"Pays-bas",394847,2256185,1998072,1797573,1630272,1551427,1482734,1329479
"Norvège",0,124911,107944,132288,108202,61639,96365,67346
"Pologne",32775,467545,445075,343806,332594,288210,316390,294628
"Portugal",156178,771434,690720,502507,456121,506523,491099,441768
"Roumanie",138003,1091250,871711,725831,628759,667668,771538,655011
"Suède",0,234158,199142,205988,186959,178758,208946,274059
"Slovenie",0,0,0,0,0,0,0,0
"Slovaquie",0,25558,15969,54736,73607,61665,68426,65892
"Turquie",90384,859437,1023694,967911,839763,662203,567574,416619
"Royaume-Uni",1084246,6168454,5576299,5136724,4811023,4708262,4340089,3978833
"Total",5590021,34019640,32046818,29139995,27258570,26961048,26497047,24167874
