"","2017","2016","2015","2014","2013","2012","2011","2010"
"Autriche",22956,43378,41887,40426,36668,36768,0,22421
"Belgique",0,0,49551,33972,52269,63806,74145,73843
"Bulgarie",0,0,0,0,0,0,0,0
"Suisse",0,0,39399,22269,23595,24433,0,0
"Chypre",0,0,0,0,0,0,0,0
"Tchéquie",0,0,0,0,0,0,0,28296
"Allemagne",139197,277568,213732,303494,288927,266930,134531,265566
"Danemark",46536,74644,72184,70519,66868,71236,65765,64901
"Estonie",51830,103568,95471,94397,102185,97428,89688,75803
"Grece",0,0,0,0,0,0,0,0
"Espagne",20991,39622,37881,39422,37738,38359,48255,43227
"Finlande",65098,131128,126909,127554,116286,149703,132078,193790
"France",29466,54107,57621,58992,55920,40799,49013,42747
"Croatie",0,0,0,0,0,0,0,0
"Hongrie",0,0,0,0,0,0,0,0
"Irlande",28890,60034,64516,58045,53712,58675,61468,75336
"Iselande",0,0,0,0,0,0,0,0
"Italie",0,0,0,92570,98790,116087,122741,106257
"Lituanie",43393,84007,81280,86850,89037,86865,94990,75945
"Luxembourg",0,0,0,0,0,0,0,0
"Montenegro",0,0,0,0,0,0,0,0
"Macedoine",0,0,0,0,0,0,0,0
"Malte",0,0,0,0,0,0,0,0
"Pays-bas",34424,65041,57957,59847,52199,47990,46019,34139
"Norvège",48042,93988,94338,107812,134923,131307,92282,115631
"Pologne",23006,47550,43063,39651,32748,32129,0,26835
"Portugal",0,0,0,0,0,0,0,0
"Roumanie",0,0,0,0,0,0,0,0
"Suède",59468,113746,101753,83541,101494,94054,105548,110317
"Slovenie",0,0,0,0,0,0,0,0
"Slovaquie",0,0,0,0,0,0,0,0
"Turquie",0,0,40882,81269,80442,93399,57460,74819
"Royaume-Uni",135930,270661,248794,269906,239763,205388,164252,240935
"Total",749227,1459042,1467218,1670536,1663564,1655356,1338235,1670808
