"","2017","2016","2015","2014","2013","2012","2011","2010"
"Autriche",1618158,3176295,3145136,3144541,3067512,3095024,2919697,2822486
"Belgique",489557,883318,790802,698187,682543,691058,693413,577797
"Bulgarie",179543,483620,390928,398934,344269,256272,258139,223703
"Suisse",1620930,3216483,3034913,2895771,2870863,2953702,2967945,2631111
"Chypre",0,0,78135,47738,50406,126766,120490,62783
"Tchéquie",229479,488920,467517,439064,485397,464991,467207,434515
"Danemark",659638,1470007,1376368,1352076,1223791,1150892,1068791,947484
"Estonie",66642,139162,144988,132826,105886,127822,61409,0
"Grece",592975,1885340,1627751,1458486,1158405,1028741,1168008,1131637
"Espagne",5357524,12333010,11007983,10929641,10032743,9683241,9715633,8788136
"Finlande",422768,864344,808677,849165,797726,825530,801103,712262
"France",1586713,3245126,3177407,3309568,3279797,3371775,3301749,2975806
"Croatie",123192,396943,360825,303103,301659,300132,275211,195200
"Hongrie",411406,740650,669890,630010,657269,737330,721352,626088
"Irlande",449337,924572,865794,737866,691151,656607,631018,587158
"Iselande",126807,229684,123414,91832,52099,47976,46422,42572
"Italie",2308627,5317048,4960949,4684731,4414823,4232256,4232831,3865510
"Lituanie",81847,185120,184229,147778,159350,171906,105218,84202
"Luxembourg",102790,202995,158542,155995,156933,147410,133446,89988
"Lettonie",84729,318644,305817,244881,229223,252641,208029,206117
"Montenegro",0,0,0,0,0,0,0,0
"Macedoine",40766,64214,55695,55454,30644,0,0,0
"Malte",120726,231662,248117,210494,231688,211771,167815,142945
"Pays-bas",1023742,2076572,1965401,1800750,1695961,1666725,1630277,1367291
"Norvège",335084,672046,715597,729914,734415,743685,764387,726325
"Pologne",634702,1659535,1528364,1408207,1344778,1249109,1167503,1090043
"Portugal",729516,1560582,1434834,1300601,1063387,1043191,949130,848873
"Roumanie",438911,825351,773222,712709,659976,564590,438323,371926
"Suède",771530,1553930,1438241,1265286,1276243,1261664,1207233,1133972
"Slovenie",32044,108352,108231,105728,110573,61553,98229,97702
"Slovaquie",0,50968,0,0,0,0,0,0
"Turquie",2157739,5857125,6969666,6403650,6133120,6112011,5614568,5192979
"Royaume-Uni",3005482,6187683,6084587,5744389,5583628,5574087,5428908,5162181
"Total",25802904,57349301,55002020,52389375,49626258,48810458,47363484,43138792
