"","2017","2016","2015","2014","2013","2012","2011","2010"
"Autriche",0,16755,11753,0,0,13991,0,0
"Belgique",15134,21602,23008,23459,24427,28301,14318,0
"Bulgarie",0,10853,0,0,0,0,0,0
"Suisse",0,0,0,0,0,0,0,0
"Chypre",0,0,0,0,0,0,0,0
"Tchéquie",0,0,0,0,0,12442,30876,32910
"Allemagne",81273,202093,170547,147119,107073,145835,117050,66508
"Danemark",19117,40919,53726,59639,61285,64013,70691,75795
"Grece",0,13699,10761,0,0,0,0,0
"Espagne",0,12239,12426,12678,12010,14317,13337,0
"Finlande",60472,117439,110243,112232,107631,98010,94358,74399
"France",0,14383,26438,0,0,13765,0,0
"Croatie",0,0,0,0,0,0,0,0
"Hongrie",0,0,0,0,0,0,0,0
"Irlande",0,10801,0,0,10966,15582,23656,0
"Iselande",0,0,0,0,0,0,0,0
"Italie",13894,40765,26630,22466,23174,22439,20871,0
"Lituanie",20633,33100,23286,28636,17757,37503,18047,25630
"Luxembourg",0,0,0,0,0,0,0,0
"Lettonie",51581,103182,95290,94181,100912,95855,89616,74302
"Montenegro",0,0,0,0,0,0,0,0
"Macedoine",0,0,0,0,0,0,0,0
"Malte",0,0,0,0,0,0,0,0
"Pays-bas",27458,44896,40423,42175,44696,47961,28989,0
"Norvège",31057,76657,73142,65817,64863,70766,60524,42685
"Pologne",21771,23399,18769,17152,13354,13179,11422,0
"Portugal",0,0,0,0,0,0,0,0
"Roumanie",0,0,0,0,0,0,0,0
"Suède",49623,74669,49383,47681,70637,91072,75470,58494
"Slovenie",0,0,0,0,0,0,0,0
"Slovaquie",0,0,0,0,0,0,0,0
"Turquie",30890,55052,77898,58100,36745,25950,28307,28465
"Royaume-Uni",18883,53661,74562,63308,66235,77745,121943,42267
"Total",441786,966164,898285,794643,761765,888726,819475,521455
