"","2017","2016","2015","2014","2013","2012","2011","2010"
"Autriche",23184,50649,48132,NA,NA,NA,NA,NA
"Belgique",8611,17103,16208,NA,NA,NA,NA,NA
"Bulgarie",0,0,0,0,0,0,0,0
"Suisse",39628,87922,73020,NA,NA,NA,NA,NA
"Chypre",0,0,0,0,0,0,0,0
"Tchéquie",0,0,0,0,0,0,0,0
"Allemagne",73048,157058,89537,NA,NA,NA,NA,NA
"Danemark",8284,12452,0,NA,NA,NA,NA,NA
"Estonie",0,0,0,0,0,0,0,0
"Grece",0,0,0,0,0,0,0,0
"Espagne",0,15858,0,NA,NA,NA,NA,NA
"Finlande",0,0,0,0,0,0,0,0
"France",21820,57014,56104,NA,NA,NA,NA,NA
"Croatie",11019,24667,23107,NA,NA,NA,NA,NA
"Hongrie",0,0,0,0,0,0,0,0
"Irlande",0,0,0,0,0,0,0,0
"Iselande",0,0,0,0,0,0,0,0
"Italie",0,53104,56320,NA,NA,NA,NA,NA
"Lituanie",0,0,0,0,0,0,0,0
"Luxembourg",0,0,0,0,0,0,0,0
"Lettonie",0,0,0,0,0,0,0,0
"Montenegro",0,0,0,0,0,0,0,0
"Malte",0,0,0,0,0,0,0,0
"Pays-bas",0,16351,16436,NA,NA,NA,NA,NA
"Norvège",0,15531,0,NA,NA,NA,NA,NA
"Pologne",0,0,0,0,0,0,0,0
"Portugal",0,0,0,0,0,0,0,0
"Roumanie",0,0,0,0,0,0,0,0
"Suède",29841,79490,85810,NA,NA,NA,NA,NA
"Slovenie",12544,21734,22981,NA,NA,NA,NA,NA
"Slovaquie",8323,12310,0,NA,NA,NA,NA,NA
"Turquie",50803,115970,113087,NA,NA,NA,NA,NA
"Royaume-Uni",17257,36030,36972,NA,NA,NA,NA,NA
"Total",304362,773243,637714,NA,NA,NA,NA,NA
