"","2017","2016","2015","2014","2013","2012","2011","2010"
"Autriche",359332,825613,700257,652042,606579,641728,641086,663828
"Belgique",260392,644759,687991,618215,553914,526481,452776,436618
"Bulgarie",210540,459876,339024,214461,201142,193639,187752,189876
"Suisse",1434270,2618292,2558559,2517836,2464074,2443288,2436712,2248430
"Chypre",361721,1089250,963272,832281,880236,943990,1084133,1026212
"Tchéquie",308937,760976,699371,643215,602949,601155,569036,525669
"Allemagne",2719619,6258363,6095734,5664833,5530888,5501380,5357822,5037185
"Danemark",767591,1775224,1585978,1377393,1269221,1192546,1189774,1013423
"Estonie",0,37049,0,0,0,0,40276,42511
"Grece",433129,2094784,1878031,1627855,1365635,1285274,1362386,1418690
"Espagne",8734054,19323963,16285738,15652659,14870165,14015992,13863503,12739830
"Finlande",232145,497955,482316,470935,426810,376184,403783,391121
"France",2060716,5059025,4799407,4501395,4322495,4235506,4164019,3793120
"Croatie",87764,273286,251770,231976,206815,214301,141462,131663
"Hongrie",377603,877139,769752,684667,583064,549253,498628,402028
"Irlande",2772072,6055590,5528386,4822533,4561666,4429878,4361912,4349973
"Iselande",279503,532101,416951,311938,198177,156156,159955,135628
"Italie",2432159,6001582,5421593,4898121,4506558,4342585,4010301,3643014
"Lituanie",141214,324438,308795,281070,232453,206843,157300,111371
"Luxembourg",42757,161304,162903,152848,148733,131608,117753,72227
"Lettonie",121826,318160,294520,247099,232970,213734,212420,215583
"Montenegro",0,0,0,0,0,0,0,0
"Macedoine",0,0,0,0,0,0,0,0
"Malte",220402,535383,459473,392870,375211,367129,373889,384382
"Pays-bas",2557330,5092414,4697873,4359968,4032634,3858960,3742363,3399354
"Norvège",446081,1015497,1119376,1074439,1113255,938788,872490,818125
"Pologne",1063312,2683508,2364388,2004510,1945912,1753072,1617593,1581795
"Portugal",1676849,3359634,2985659,2812321,2496081,2318431,2417034,2157068
"Roumanie",403044,867944,607946,393642,306149,272728,278205,246380
"Suède",624912,1333574,1267533,1122814,1097527,1129114,1129105,950549
"Slovenie",0,53406,44454,42666,45039,45100,45128,42048
"Slovaquie",56282,204791,206722,179432,126108,143939,158489,157848
"Turquie",565763,1796256,2355861,2336091,2162293,1999492,1984772,2158617
"Total",31751319,72931136,66339633,61122125,57464753,55028274,54031857,50484166
