unit,tra_meas,schedule,tra_cov,geo\time	2005 	2006 	2007 	2008 	2009 	2010 	2011 	2012 	2013 	2014 	2015 	2016
PAS,PAS_CRD,TOT,TOTAL,AT	19684822 	20824533 	22926104 	23899584 	21817267 	23532455 	25137612 	25965977 	25749724 	26378676 	26754007 	27181511
PAS,PAS_CRD,TOT,TOTAL,BE	17813943 	19154673 	20805455 	21983683 	21316690 	22697764 	25102695 	25919515 	26389927 	28776258 	30958841 	30115832
PAS,PAS_CRD,TOT,TOTAL,BG	: 	: 	6072357 	6417992 	5840825 	6169323 	6652007 	6819103 	7079292 	7520697 	7610949 	9324217
PAS,PAS_CRD,TOT,TOTAL,CH	28876325 	31829653 	34537698 	36595735 	35928169 	37615959 	41439848 	43236086 	44217568 	46127426 	48026375 	50505492
PAS,PAS_CRD,TOT,TOTAL,CY	6782521 	6714102 	7004315 	7218084 	6729787 	6948288 	7190387 	7328300 	7011437 	7328546 	7590787 	8961817
PAS,PAS_CRD,TOT,TOTAL,CZ	11265764 	12171235 	13098141 	13429149 	12367467 	12242386 	12650532 	11742352 	11891812 	12079873 	12672004 	13672362
PAS,PAS_CRD,TOT,TOTAL,DE	146102479 	154090077 	163784893 	165758846 	158148829 	166130833 	175316076 	178591103 	180783188 	186445814 	193936430 	200687293
PAS,PAS_CRD,TOT,TOTAL,DK	22173770 	22967560 	24043172 	24639072 	22277524 	24334852 	25808694 	26533265 	27459709 	29015810 	30095505 	32763142
PAS,PAS_CRD,TOT,TOTAL,EE	1393105 	1533132 	1722505 	1804430 	1341294 	1381062 	1907569 	2202427 	1958565 	2019806 	2160978 	2214989
PAS,PAS_CRD,TOT,TOTAL,EL	30798527 	32762340 	35567225 	35059804 	33440269 	32588072 	33770739 	32082336 	34023934 	39117833 	42096402 	45543371
PAS,PAS_CRD,TOT,TOTAL,ES	143679871 	150599291 	163523010 	161400952 	148318298 	153387014 	165153230 	159771261 	157731973 	165354382 	174652503 	193872037
PAS,PAS_CRD,TOT,TOTAL,EU27	: 	: 	814427837 	798625469 	751855594 	774555432 	818145231 	823049838 	837399812 	875231530 	916483716 	970697933 
PAS,PAS_CRD,TOT,TOTAL,EU28	: 	: 	: 	800080793 	753231320 	776047580 	819727379 	824759178 	839066122 	876983144 	918249055 	972692566
PAS,PAS_CRD,TOT,TOTAL,FI	12348113 	13443365 	14464575 	14850682 	13828812 	14220636 	16374398 	16458815 	16565391 	17171931 	17479246 	18099954
